#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2455 3.0946E-04 1.5752E-04  -2.08   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 8.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  11  0.108834  3.5410  5.3500 -2.7578 16.2165 13.7773 12.2053 11.4334 11.1144 11.0161
  12  0.119296  3.5482  5.3027 -2.6417 15.7742 13.3947 11.8524 11.1456 10.8371 10.7386
  13  0.131811  3.5561  5.2541 -2.5187 15.3038 12.9917 11.4853 10.8385 10.5411 10.4436
  14  0.147490  3.5643  5.2074 -2.3902 14.8109 12.5720 11.1090 10.5157 10.2299 10.1343
  15  0.165731  3.5723  5.1693 -2.2697 14.3438 12.1787 10.7626 10.2116  9.9370  9.8437
  16  0.182886  3.5784  5.1402 -2.1730 13.9703 11.8661 10.4902  9.9673  9.7013  9.6102
  17  0.197782  3.5830  5.1168 -2.0974 13.6848 11.6264 10.2815  9.7767  9.5169  9.4275
  18  0.211857  3.5866  5.0960 -2.0322 13.4431 11.4230 10.1038  9.6125  9.3577  9.2696
  19  0.226273  3.5899  5.0767 -1.9712 13.2192 11.2343  9.9388  9.4590  9.2086  9.1217
  20  0.241252  3.5930  5.0586 -1.9130 13.0069 11.0552  9.7825  9.3126  9.0663  8.9808
  21  0.258069  3.5961  5.0407 -1.8533 12.7882 10.8719  9.6228  9.1627  8.9206  8.8361
  22  0.277335  3.5994  5.0226 -1.7909 12.5596 10.6805  9.4566  9.0059  8.7683  8.6852
  23  0.294120  3.6019  5.0081 -1.7404 12.3758 10.5262  9.3224  8.8790  8.6449  8.5629
  24  0.305089  3.6036  4.9993 -1.7093 12.2628 10.4312  9.2398  8.8008  8.5689  8.4876
  25  0.312518  3.6046  4.9940 -1.6894 12.1912 10.3707  9.1871  8.7508  8.5202  8.4394
  26  0.317845  3.6053  4.9901 -1.6754 12.1412 10.3284  9.1502  8.7157  8.4861  8.4056
  27  0.321905  3.6058  4.9872 -1.6648 12.1029 10.2959  9.1219  8.6889  8.4601  8.3798
  28  0.325551  3.6063  4.9847 -1.6554 12.0691 10.2673  9.0969  8.6653  8.4371  8.3571
  29  0.329559  3.6069  4.9822 -1.6454 12.0328 10.2365  9.0703  8.6401  8.4127  8.3329
  30  0.334911  3.6076  4.9801 -1.6335 11.9882 10.1990  9.0381  8.6097  8.3833  8.3039
  31  0.342011  3.6085  4.9761 -1.6165 11.9262 10.1466  8.9928  8.5668  8.3418  8.2629
  32  0.350573  3.6098  4.9697 -1.5944 11.8458 10.0784  8.9338  8.5111  8.2878  8.2095
  33  0.370407  3.6132  4.9535 -1.5406 11.6426  9.9079  8.7888  8.3748  8.1564  8.0797
  34  0.396438  3.6189  4.9264 -1.4613 11.3363  9.6508  8.5729  8.1734  7.9631  7.8894
  35  0.421806  3.6257  4.8969 -1.3777 11.0103  9.3744  8.3429  7.9607  7.7603  7.6901
  36  0.443594  3.6328  4.8709 -1.3018 10.7097  9.1177  8.1315  7.7670  7.5770  7.5107
  37  0.459733  3.6387  4.8520 -1.2437 10.4705  8.9166  7.9681  7.6188  7.4379  7.3748
  38  0.472805  3.6441  4.8368 -1.1945 10.2590  8.7424  7.8284  7.4933  7.3207  7.2607
