#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2457 4.1779E-04 2.1266E-04  -1.90   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 7.400 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.103089  3.5338  5.3730 -2.8330 16.5124 14.0808 12.4961 11.6373 11.3006 11.2009
  11  0.113266  3.5405  5.3249 -2.7174 16.0880 13.6976 12.1353 11.3478 11.0232 10.9233
  12  0.124647  3.5473  5.2760 -2.5994 15.6524 13.3101 11.7732 11.0516 10.7389 10.6393
  13  0.139025  3.5551  5.2258 -2.4712 15.1757 12.8910 11.3859 10.7284 10.4281 10.3300
  14  0.157765  3.5634  5.1801 -2.3373 14.6728 12.4546 10.9891 10.3897 10.1024 10.0066
  15  0.178399  3.5712  5.1445 -2.2174 14.2191 12.0638 10.6401 10.0853  9.8098  9.7164
  16  0.196274  3.5766  5.1172 -2.1267 13.8819 11.7740 10.3833  9.8555  9.5880  9.4966
  17  0.212044  3.5806  5.0944 -2.0543 13.6187 11.5480 10.1829  9.6728  9.4110  9.3210
  18  0.227225  3.5839  5.0743 -1.9909 13.3905 11.3523 10.0096  9.5129  9.2559  9.1670
  19  0.242278  3.5870  5.0562 -1.9332 13.1831 11.1749  9.8531  9.3675  9.1146  9.0268
  20  0.257605  3.5896  5.0396 -1.8789 12.9876 11.0088  9.7071  9.2312  8.9821  8.8953
  21  0.275082  3.5926  5.0230 -1.8222 12.7802 10.8344  9.5549  9.0885  8.8434  8.7577
  22  0.290640  3.5950  5.0093 -1.7748 12.6072 10.6895  9.4286  8.9698  8.7278  8.6430
  23  0.302025  3.5966  4.9991 -1.7413 12.4856 10.5873  9.3397  8.8858  8.6460  8.5619
  24  0.309831  3.5977  4.9923 -1.7192 12.4062 10.5202  9.2811  8.8302  8.5920  8.5083
  25  0.315616  3.5984  4.9875 -1.7035 12.3501 10.4726  9.2394  8.7907  8.5534  8.4699
  26  0.320009  3.5989  4.9841 -1.6917 12.3084 10.4371  9.2083  8.7612  8.5247  8.4414
  27  0.323698  3.5994  4.9813 -1.6821 12.2738 10.4078  9.1827  8.7370  8.5011  8.4180
  28  0.327416  3.5999  4.9788 -1.6728 12.2402 10.3794  9.1580  8.7135  8.4782  8.3954
  29  0.331837  3.6005  4.9761 -1.6620 12.2016 10.3466  9.1296  8.6866  8.4521  8.3695
  30  0.337400  3.6011  4.9745 -1.6504 12.1572 10.3103  9.0992  8.6572  8.4234  8.3411
  31  0.345424  3.6021  4.9699 -1.6316 12.0874 10.2524  9.0501  8.6096  8.3770  8.2951
  32  0.364649  3.6052  4.9521 -1.5777 11.8893 10.0833  8.9047  8.4735  8.2455  8.1651
  33  0.396419  3.6120  4.9195 -1.4821 11.5220  9.7739  8.6444  8.2308  8.0122  7.9352
  34  0.424010  3.6193  4.8872 -1.3912 11.1681  9.4736  8.3949  7.9998  7.7917  7.7183
  35  0.447274  3.6268  4.8583 -1.3090 10.8426  9.1948  8.1659  7.7899  7.5929  7.5235
  36  0.462133  3.6327  4.8402 -1.2535 10.6152  9.0004  8.0094  7.6484  7.4602  7.3938
  37  0.474109  3.6380  4.8260 -1.2068 10.4148  8.8316  7.8759  7.5290  7.3490  7.2855
  38  0.484675  3.6431  4.8140 -1.1645 10.2285  8.6774  7.7550  7.4215  7.2492  7.1885
  39  0.494415  3.6482  4.8038 -1.1254 10.0512  8.5329  7.6428  7.3222  7.1575  7.0994
  40  0.503406  3.6531  4.7951 -1.0894  9.8842  8.3990  7.5392  7.2309  7.0735  7.0181
  41  0.511402  3.6577  4.7881 -1.0572  9.7301  8.2776  7.4461  7.1492  6.9988  6.9458
  42  0.518716  3.6622  4.7822 -1.0273  9.5827  8.1644  7.3595  7.0735  6.9296  6.8791
  43  0.526097  3.6669  4.7767 -0.9969  9.4302  8.0496  7.2719  6.9969  6.8599  6.8119
  44  0.534260  3.6721  4.7711 -0.9635  9.2612  7.9250  7.1764  6.9128  6.7833  6.7382
  45  0.543847  3.6783  4.7646 -0.9246  9.0650  7.7835  7.0666  6.8155  6.6943  6.6527
  46  0.555250  3.6855  4.7569 -0.8789  8.8351  7.6208  6.9388  6.7017  6.5899  6.5523
  47  0.567929  3.6938  4.7487 -0.8281  8.5862  7.4441  6.7987  6.5764  6.4749  6.4419
  48  0.581053  3.7023  4.7401 -0.7756  8.3355  7.2658  6.6564  6.4494  6.3584  6.3300
  49  0.593979  3.7105  4.7314 -0.7244  8.0970  7.0970  6.5204  6.3274  6.2462  6.2223
  50  0.606354  3.7181  4.7221 -0.6761  7.8815  6.9426  6.3944  6.2135  6.1410  6.1209
  51  0.618125  3.7251  4.7128 -0.6304  7.6853  6.8000  6.2775  6.1077  6.0429  6.0264
  52  0.623555  3.7282  4.7083 -0.6094  7.5975  6.7353  6.2243  6.0595  5.9982  5.9833
  53  0.628945  3.7312  4.7037 -0.5887  7.5123  6.6719  6.1722  6.0121  5.9542  5.9407
  54  0.634291  3.7343  4.6989 -0.5680  7.4296  6.6098  6.1208  5.9654  5.9108  5.8989
  55  0.639592  3.7373  4.6941 -0.5478  7.3495  6.5489  6.0703  5.9195  5.8680  5.8575
  56  0.644842  3.7402  4.6892 -0.5277  7.2715  6.4891  6.0207  5.8742  5.8258  5.8166
  57  0.650049  3.7430  4.6841 -0.5078  7.1957  6.4303  5.9717  5.8296  5.7842  5.7763
  58  0.655211  3.7457  4.6790 -0.4882  7.1218  6.3725  5.9235  5.7856  5.7431  5.7365
  59  0.660321  3.7484  4.6735 -0.4688  7.0497  6.3154  5.8759  5.7422  5.7025  5.6971
  60  0.665383  3.7511  4.6680 -0.4494  6.9789  6.2589  5.8291  5.6995  5.6626  5.6584
  61  0.670391  3.7537  4.6624 -0.4303  6.9100  6.2035  5.7828  5.6574  5.6231  5.6200
  62  0.675350  3.7561  4.6567 -0.4115  6.8429  6.1490  5.7372  5.6157  5.5841  5.5821
  63  0.680257  3.7585  4.6510 -0.3929  6.7776  6.0957  5.6921  5.5743  5.5452  5.5442
  64  0.685110  3.7610  4.6453 -0.3744  6.7140  6.0434  5.6477  5.5334  5.5067  5.5068
  65  0.689908  3.7633  4.6395 -0.3562  6.6519  5.9920  5.6039  5.4931  5.4687  5.4699
  66  0.694656  3.7656  4.6338 -0.3383  6.5914  5.9414  5.5609  5.4535  5.4314  5.4334
  67  0.699345  3.7679  4.6282 -0.3207  6.5320  5.8917  5.5185  5.4145  5.3948  5.3977
  68  0.703973  3.7701  4.6226 -0.3033  6.4740  5.8429  5.4770  5.3763  5.3587  5.3626
  69  0.708547  3.7724  4.6172 -0.2862  6.4173  5.7948  5.4361  5.3387  5.3232  5.3281
  70  0.713068  3.7745  4.6118 -0.2693  6.3618  5.7477  5.3959  5.3016  5.2884  5.2940
  71  0.717534  3.7767  4.6065 -0.2527  6.3074  5.7013  5.3562  5.2652  5.2541  5.2606
  72  0.721927  3.7788  4.6012 -0.2364  6.2540  5.6556  5.3174  5.2295  5.2205  5.2279
  73  0.726241  3.7809  4.5962 -0.2203  6.2019  5.6108  5.2792  5.1945  5.1876  5.1958
  74  0.730480  3.7829  4.5910 -0.2045  6.1510  5.5667  5.2417  5.1601  5.1552  5.1641
  75  0.734624  3.7850  4.5859 -0.1889  6.1012  5.5235  5.2049  5.1262  5.1233  5.1330
  76  0.738685  3.7869  4.5809 -0.1736  6.0529  5.4811  5.1686  5.0928  5.0918  5.1022
  77  0.742654  3.7888  4.5760 -0.1585  6.0058  5.4395  5.1328  5.0599  5.0607  5.0719
  78  0.746530  3.7907  4.5710 -0.1437  5.9598  5.3986  5.0977  5.0274  5.0301  5.0419
  79  0.750328  3.7925  4.5659 -0.1291  5.9147  5.3585  5.0631  4.9956  4.9999  5.0125
  80  0.754047  3.7943  4.5608 -0.1147  5.8703  5.3189  5.0289  4.9640  4.9702  4.9833
  81  0.757678  3.7961  4.5558 -0.1005  5.8271  5.2801  4.9954  4.9332  4.9409  4.9547
  82  0.762598  3.7985  4.5487 -0.0812  5.7682  5.2272  4.9499  4.8911  4.9012  4.9157
  83  0.767540  3.8008  4.5412 -0.0618  5.7090  5.1739  4.9044  4.8491  4.8615  4.8767
  84  0.772484  3.8030  4.5334 -0.0422  5.6499  5.1203  4.8585  4.8068  4.8214  4.8373
  85  0.777374  3.8053  4.5254 -0.0225  5.5915  5.0668  4.8127  4.7645  4.7811  4.7978
  86  0.782208  3.8073  4.5171 -0.0030  5.5343  5.0138  4.7663  4.7214  4.7401  4.7574
  87  0.786983  3.8094  4.5084  0.0165  5.4780  4.9611  4.7198  4.6780  4.6985  4.7165
  88  0.791684  3.8114  4.4995  0.0359  5.4223  4.9085  4.6731  4.6343  4.6568  4.6753
  89  0.796322  3.8133  4.4904  0.0554  5.3670  4.8562  4.6265  4.5906  4.6149  4.6340
  90  0.800913  3.8152  4.4809  0.0748  5.3118  4.8040  4.5798  4.5468  4.5727  4.5924
  91  0.805429  3.8170  4.4712  0.0943  5.2571  4.7519  4.5333  4.5029  4.5306  4.5508
  92  0.809826  3.8188  4.4614  0.1134  5.2032  4.7003  4.4869  4.4595  4.4888  4.5095
  93  0.814145  3.8205  4.4515  0.1326  5.1496  4.6488  4.4408  4.4159  4.4469  4.4680
  94  0.818443  3.8223  4.4414  0.1519  5.0956  4.5967  4.3940  4.3718  4.4044  4.4261
  95  0.822673  3.8240  4.4310  0.1714  5.0418  4.5446  4.3470  4.3275  4.3615  4.3837
  96  0.826780  3.8256  4.4206  0.1906  4.9889  4.4931  4.3005  4.2837  4.3193  4.3417
  97  0.830789  3.8273  4.4102  0.2096  4.9367  4.4420  4.2545  4.2402  4.2773  4.3001
  98  0.834727  3.8288  4.3998  0.2286  4.8847  4.3914  4.2086  4.1970  4.2354  4.2587
  99  0.838619  3.8305  4.3895  0.2473  4.8330  4.3408  4.1629  4.1539  4.1938  4.2175
 100  0.842476  3.8321  4.3792  0.2661  4.7816  4.2903  4.1174  4.1111  4.1524  4.1764
 101  0.846254  3.8337  4.3690  0.2847  4.7307  4.2402  4.0722  4.0685  4.1112  4.1356
 102  0.849942  3.8353  4.3587  0.3031  4.6803  4.1905  4.0273  4.0261  4.0702  4.0950
