#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2454 2.2483E-04 1.1444E-04  -2.25   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE=10.100 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  12  0.107250  3.5434  5.3613 -2.7658 16.2221 13.7473 12.1756 11.4354 11.1245 11.0275
  13  0.117396  3.5516  5.3152 -2.6477 15.7490 13.3536 11.8186 11.1461 10.8457 10.7485
  14  0.129097  3.5601  5.2683 -2.5254 15.2578 12.9493 11.4580 10.8441 10.5542 10.4580
  15  0.142766  3.5686  5.2241 -2.4038 14.7713 12.5481 11.1070 10.5406 10.2616 10.1671
  16  0.157463  3.5761  5.1880 -2.2958 14.3391 12.1947 10.8022 10.2700 10.0005  9.9080
  17  0.171557  3.5818  5.1598 -2.2073 13.9869 11.9091 10.5576 10.0483  9.7863  9.6957
  18  0.184491  3.5862  5.1368 -2.1349 13.7039 11.6784 10.3596  9.8665  9.6102  9.5212
  19  0.197074  3.5900  5.1161 -2.0705 13.4582 11.4762 10.1855  9.7049  9.4534  9.3659
  20  0.210128  3.5934  5.0964 -2.0092 13.2277 11.2857 10.0209  9.5510  9.3041  9.2180
  21  0.224672  3.5969  5.0768 -1.9470 12.9977 11.0941  9.8546  9.3948  9.1523  9.0676
  22  0.240942  3.6002  5.0573 -1.8837 12.7662 10.9004  9.6863  9.2358  8.9978  8.9146
  23  0.260502  3.6038  5.0374 -1.8153 12.5163 10.6909  9.5043  9.0636  8.8306  8.7490
  24  0.283504  3.6076  5.0167 -1.7423 12.2532 10.4686  9.3105  8.8797  8.6520  8.5723
  25  0.300378  3.6102  5.0045 -1.6946 12.0814 10.3229  9.1836  8.7594  8.5353  8.4569
  26  0.309907  3.6116  4.9987 -1.6698 11.9924 10.2473  9.1178  8.6970  8.4747  8.3969
  27  0.316258  3.6125  4.9950 -1.6539 11.9352 10.1986  9.0752  8.6566  8.4356  8.3583
  28  0.320778  3.6131  4.9922 -1.6424 11.8939 10.1636  9.0446  8.6277  8.4075  8.3305
  29  0.324498  3.6136  4.9897 -1.6328 11.8595 10.1341  9.0191  8.6034  8.3840  8.3073
  30  0.328363  3.6142  4.9877 -1.6234 11.8251 10.1050  8.9939  8.5796  8.3610  8.2846
  31  0.333059  3.6148  4.9849 -1.6119 11.7837 10.0697  8.9631  8.5505  8.3328  8.2568
  32  0.338941  3.6156  4.9812 -1.5975 11.7324 10.0257  8.9246  8.5140  8.2975  8.2219
  33  0.347535  3.6167  4.9760 -1.5768 11.6580  9.9621  8.8692  8.4614  8.2466  8.1717
  34  0.356785  3.6181  4.9690 -1.5529 11.5719  9.8886  8.8053  8.4010  8.1882  8.1140
  35  0.369121  3.6202  4.9586 -1.5194 11.4481  9.7840  8.7153  8.3162  8.1064  8.0333
  36  0.384434  3.6233  4.9435 -1.4741 11.2758  9.6393  8.5927  8.2014  7.9960  7.9245
  37  0.400924  3.6272  4.9253 -1.4220 11.0745  9.4696  8.4502  8.0687  7.8691  7.7998
  38  0.416929  3.6317  4.9059 -1.3680 10.8647  9.2915  8.3014  7.9311  7.7380  7.6711
  39  0.433525  3.6367  4.8862 -1.3114 10.6426  9.1038  8.1451  7.7871  7.6015  7.5373
  40  0.450593  3.6423  4.8664 -1.2521 10.4010  8.9039  7.9799  7.6359  7.4587  7.3976
  41  0.465228  3.6479  4.8492 -1.1989 10.1767  8.7218  7.8310  7.5005  7.3316  7.2736
  42  0.477476  3.6531  4.8346 -1.1520  9.9727  8.5599  7.6996  7.3814  7.2202  7.1653
  43  0.488695  3.6583  4.8215 -1.1080  9.7770  8.4071  7.5762  7.2700  7.1164  7.0645
  44  0.498666  3.6632  4.8105 -1.0684  9.5985  8.2693  7.4656  7.1707  7.0241  6.9747
  45  0.507305  3.6677  4.8015 -1.0340  9.4400  8.1485  7.3690  7.0842  6.9441  6.8973
  46  0.515058  3.6720  4.7938 -1.0025  9.2922  8.0375  7.2809  7.0056  6.8716  6.8272
  47  0.522425  3.6764  4.7868 -0.9721  9.1476  7.9301  7.1959  6.9300  6.8020  6.7601
  48  0.529951  3.6809  4.7798 -0.9408  8.9984  7.8206  7.1089  6.8524  6.7306  6.6911
  49  0.538014  3.6859  4.7725 -0.9071  8.8389  7.7045  7.0163  6.7696  6.6544  6.6176
  50  0.546865  3.6913  4.7646 -0.8702  8.6668  7.5791  6.9158  6.6797  6.5715  6.5377
  51  0.556449  3.6972  4.7559 -0.8303  8.4847  7.4456  6.8083  6.5835  6.4827  6.4522
  52  0.561477  3.7004  4.7515 -0.8094  8.3901  7.3759  6.7522  6.5333  6.4365  6.4076
  53  0.566535  3.7035  4.7470 -0.7883  8.2948  7.3059  6.6960  6.4831  6.3902  6.3631
  54  0.571598  3.7067  4.7424 -0.7671  8.2000  7.2363  6.6400  6.4331  6.3442  6.3188
  55  0.576651  3.7099  4.7378 -0.7459  8.1064  7.1674  6.5844  6.3834  6.2985  6.2747
  56  0.581675  3.7130  4.7332 -0.7249  8.0150  7.0999  6.5297  6.3343  6.2532  6.2311
  57  0.586656  3.7162  4.7285 -0.7041  7.9261  7.0339  6.4759  6.2859  6.2084  6.1878
  58  0.591585  3.7192  4.7237 -0.6835  7.8400  6.9695  6.4231  6.2382  6.1642  6.1451
  59  0.596450  3.7223  4.7188 -0.6632  7.7567  6.9065  6.3714  6.1914  6.1207  6.1031
  60  0.601255  3.7251  4.7140 -0.6432  7.6757  6.8448  6.3206  6.1454  6.0780  6.0618
  61  0.605995  3.7280  4.7091 -0.6234  7.5970  6.7844  6.2708  6.1001  6.0359  6.0212
  62  0.610671  3.7307  4.7040 -0.6038  7.5205  6.7253  6.2219  6.0557  5.9945  5.9811
  63  0.615288  3.7335  4.6989 -0.5846  7.4458  6.6672  6.1736  6.0119  5.9537  5.9416
  64  0.619836  3.7362  4.6938 -0.5656  7.3733  6.6101  6.1262  5.9688  5.9136  5.9027
  65  0.624322  3.7388  4.6887 -0.5467  7.3025  6.5541  6.0797  5.9265  5.8741  5.8645
  66  0.628746  3.7413  4.6834 -0.5282  7.2336  6.4990  6.0338  5.8848  5.8352  5.8268
  67  0.633113  3.7438  4.6782 -0.5098  7.1662  6.4448  5.9887  5.8438  5.7969  5.7897
  68  0.637417  3.7463  4.6728 -0.4918  7.1005  6.3917  5.9443  5.8033  5.7591  5.7530
  69  0.641660  3.7487  4.6675 -0.4739  7.0365  6.3395  5.9005  5.7633  5.7216  5.7166
  70  0.645851  3.7511  4.6620 -0.4562  6.9739  6.2881  5.8573  5.7241  5.6849  5.6808
  71  0.649986  3.7534  4.6566 -0.4387  6.9124  6.2374  5.8149  5.6853  5.6486  5.6455
  72  0.654066  3.7557  4.6510 -0.4214  6.8520  6.1872  5.7730  5.6473  5.6130  5.6110
  73  0.658093  3.7579  4.6453 -0.4042  6.7926  6.1378  5.7317  5.6097  5.5778  5.5766
  74  0.662061  3.7600  4.6396 -0.3873  6.7346  6.0893  5.6909  5.5724  5.5429  5.5426
  75  0.665975  3.7622  4.6339 -0.3705  6.6780  6.0416  5.6505  5.5354  5.5081  5.5087
  76  0.669827  3.7642  4.6281 -0.3540  6.6230  5.9948  5.6106  5.4987  5.4734  5.4749
  77  0.673613  3.7662  4.6224 -0.3376  6.5693  5.9489  5.5713  5.4624  5.4392  5.4415
  78  0.677336  3.7682  4.6166 -0.3216  6.5169  5.9038  5.5325  5.4266  5.4054  5.4086
  79  0.680990  3.7702  4.6109 -0.3057  6.4657  5.8594  5.4944  5.3914  5.3722  5.3762
  80  0.684574  3.7721  4.6052 -0.2901  6.4156  5.8159  5.4569  5.3568  5.3395  5.3442
  81  0.688083  3.7740  4.5996 -0.2748  6.3667  5.7731  5.4201  5.3228  5.3075  5.3129
  82  0.693111  3.7767  4.5915 -0.2527  6.2968  5.7118  5.3673  5.2741  5.2614  5.2679
  83  0.698083  3.7793  4.5834 -0.2308  6.2277  5.6511  5.3150  5.2257  5.2157  5.2233
  84  0.703002  3.7820  4.5753 -0.2090  6.1593  5.5907  5.2630  5.1777  5.1705  5.1790
  85  0.707864  3.7847  4.5672 -0.1874  6.0918  5.5308  5.2114  5.1302  5.1256  5.1351
  86  0.712672  3.7873  4.5590 -0.1657  6.0249  5.4710  5.1600  5.0827  5.0807  5.0912
  87  0.717427  3.7899  4.5507 -0.1441  5.9590  5.4115  5.1086  5.0351  5.0357  5.0471
  88  0.722126  3.7924  4.5420 -0.1224  5.8938  5.3521  5.0569  4.9873  4.9904  5.0027
