#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2550 6.2105E-03 3.1612E-03  -0.72   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 7.300 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.108063  3.5135  5.3070 -2.8281 16.3608 14.4220 13.0105 11.7306 11.2402 11.1027
  11  0.124132  3.5144  5.2386 -2.6958 15.9920 14.0688 12.6629 11.3994 10.9109 10.7726
  12  0.145575  3.5160  5.1678 -2.5493 15.5787 13.6702 12.2713 11.0310 10.5467 10.4078
  13  0.176406  3.5208  5.1073 -2.3864 15.0881 13.1847 11.7984 10.6117 10.1419 10.0049
  14  0.204419  3.5264  5.0697 -2.2622 14.6948 12.7909 11.4169 10.2879  9.8347  9.7008
  15  0.224654  3.5302  5.0446 -2.1811 14.4378 12.5340 11.1679 10.0765  9.6345  9.5027
  16  0.241541  3.5332  5.0254 -2.1183 14.2372 12.3340 10.9746  9.9126  9.4795  9.3496
  17  0.258286  3.5361  5.0083 -2.0609 14.0548 12.1520 10.7989  9.7633  9.3381  9.2100
  18  0.274415  3.5386  4.9930 -2.0089 13.8899 11.9876 10.6403  9.6282  9.2103  9.0838
  19  0.288361  3.5409  4.9799 -1.9653 13.7519 11.8505 10.5080  9.5155  9.1036  8.9785
  20  0.299113  3.5425  4.9692 -1.9320 13.6471 11.7463 10.4073  9.4293  9.0220  8.8980
  21  0.307138  3.5438  4.9607 -1.9070 13.5688 11.6685 10.3321  9.3648  8.9608  8.8375
  22  0.312965  3.5446  4.9542 -1.8889 13.5129 11.6130 10.2782  9.3183  8.9166  8.7938
  23  0.317454  3.5453  4.9493 -1.8752 13.4703 11.5705 10.2372  9.2829  8.8830  8.7607
  24  0.321087  3.5458  4.9452 -1.8640 13.4360 11.5363 10.2040  9.2543  8.8558  8.7338
  25  0.324505  3.5463  4.9420 -1.8540 13.4048 11.5051 10.1739  9.2286  8.8315  8.7098
  26  0.328218  3.5469  4.9383 -1.8431 13.3707 11.4710 10.1410  9.2003  8.8049  8.6835
  27  0.332808  3.5476  4.9342 -1.8305 13.3310 11.4313 10.1028  9.1677  8.7739  8.6530
  28  0.339437  3.5487  4.9297 -1.8132 13.2763 11.3761 10.0497  9.1229  8.7320  8.6118
  29  0.366583  3.5540  4.9065 -1.7369 13.0316 11.1239  9.8090  8.9235  8.5475  8.4314
  30  0.421707  3.5658  4.8530 -1.5736 12.5024 10.5850  9.2941  8.4997  8.1559  8.0480
  31  0.444302  3.5720  4.8264 -1.4989 12.2538 10.3348  9.0536  8.3083  7.9806  7.8763
  32  0.450516  3.5746  4.8172 -1.4739 12.1696 10.2449  8.9636  8.2444  7.9243  7.8218
  33  0.460415  3.5777  4.8051 -1.4398 12.0563 10.1272  8.8494  8.1567  7.8454  7.7448
  34  0.471395  3.5812  4.7918 -1.4018 11.9269  9.9957  8.7244  8.0590  7.7573  7.6589
  35  0.483031  3.5853  4.7778 -1.3610 11.7863  9.8534  8.5908  7.9542  7.6629  7.5670
  36  0.494529  3.5896  4.7643 -1.3203 11.6440  9.7098  8.4577  7.8495  7.5689  7.4754
  37  0.505536  3.5939  4.7519 -1.2811 11.5058  9.5702  8.3309  7.7488  7.4784  7.3873
  38  0.516224  3.5982  4.7406 -1.2431 11.3717  9.4334  8.2075  7.6512  7.3910  7.3023
  39  0.527021  3.6028  4.7296 -1.2048 11.2361  9.2930  8.0814  7.5521  7.3028  7.2166
  40  0.538476  3.6080  4.7186 -1.1637 11.0901  9.1402  7.9457  7.4460  7.2088  7.1255
  41  0.550734  3.6138  4.7075 -1.1194 10.9305  8.9718  7.7995  7.3315  7.1077  7.0274
  42  0.564222  3.6208  4.6965 -1.0704 10.7484  8.7806  7.6381  7.2051  6.9962  6.9195
  43  0.579204  3.6289  4.6858 -1.0158 10.5321  8.5610  7.4588  7.0641  6.8724  6.7994
  44  0.594931  3.6383  4.6768 -0.9578 10.2776  8.3182  7.2684  6.9145  6.7409  6.6726
  45  0.610704  3.6482  4.6693 -0.8996  9.9902  8.0676  7.0791  6.7635  6.6077  6.5444
  46  0.626058  3.6578  4.6626 -0.8432  9.6858  7.8247  6.9004  6.6168  6.4764  6.4184
  47  0.640914  3.6672  4.6560 -0.7893  9.3794  7.5962  6.7340  6.4757  6.3489  6.2963
  48  0.655452  3.6761  4.6494 -0.7372  9.0752  7.3816  6.5782  6.3407  6.2258  6.1786
  49  0.669789  3.6846  4.6424 -0.6869  8.7799  7.1814  6.4320  6.2118  6.1079  6.0658
  50  0.683702  3.6924  4.6350 -0.6391  8.5150  6.9995  6.2962  6.0908  5.9968  5.9593
  51  0.696805  3.6997  4.6276 -0.5948  8.2891  6.8376  6.1717  5.9795  5.8945  5.8610
  52  0.703056  3.7030  4.6238 -0.5737  8.1853  6.7625  6.1132  5.9271  5.8461  5.8145
  53  0.709185  3.7063  4.6200 -0.5530  8.0834  6.6897  6.0561  5.8758  5.7989  5.7689
  54  0.715176  3.7095  4.6161 -0.5325  7.9838  6.6190  6.0005  5.8256  5.7525  5.7244
  55  0.721015  3.7127  4.6121 -0.5125  7.8855  6.5503  5.9463  5.7767  5.7073  5.6808
  56  0.726706  3.7157  4.6079 -0.4928  7.7893  6.4838  5.8936  5.7290  5.6631  5.6383
  57  0.732258  3.7186  4.6037 -0.4735  7.6956  6.4192  5.8422  5.6824  5.6200  5.5968
  58  0.737692  3.7215  4.5994 -0.4545  7.6045  6.3565  5.7922  5.6369  5.5778  5.5561
  59  0.743036  3.7243  4.5949 -0.4359  7.5163  6.2956  5.7433  5.5924  5.5365  5.5163
  60  0.748309  3.7269  4.5905 -0.4175  7.4308  6.2364  5.6955  5.5488  5.4960  5.4772
  61  0.753537  3.7295  4.5858 -0.3995  7.3480  6.1786  5.6487  5.5061  5.4562  5.4387
  62  0.758739  3.7320  4.5811 -0.3816  7.2674  6.1222  5.6027  5.4641  5.4169  5.4008
  63  0.763924  3.7345  4.5763 -0.3640  7.1890  6.0670  5.5576  5.4227  5.3783  5.3634
  64  0.769103  3.7369  4.5714 -0.3466  7.1124  6.0129  5.5131  5.3819  5.3401  5.3264
  65  0.774278  3.7393  4.5664 -0.3293  7.0379  5.9599  5.4692  5.3416  5.3023  5.2897
  66  0.779445  3.7416  4.5613 -0.3122  6.9652  5.9079  5.4260  5.3016  5.2647  5.2534
  67  0.784583  3.7437  4.5560 -0.2953  6.8943  5.8569  5.3833  5.2621  5.2275  5.2173
  68  0.789681  3.7459  4.5507 -0.2786  6.8252  5.8068  5.3412  5.2231  5.1907  5.1816
  69  0.794734  3.7480  4.5453 -0.2620  6.7576  5.7576  5.2996  5.1844  5.1541  5.1461
  70  0.799714  3.7500  4.5396 -0.2456  6.6918  5.7093  5.2587  5.1463  5.1181  5.1110
  71  0.804618  3.7519  4.5338 -0.2293  6.6276  5.6619  5.2183  5.1086  5.0824  5.0764
  72  0.809446  3.7538  4.5279 -0.2133  6.5647  5.6152  5.1786  5.0716  5.0472  5.0421
  73  0.814182  3.7556  4.5219 -0.1975  6.5036  5.5695  5.1396  5.0351  5.0125  5.0083
  74  0.818829  3.7574  4.5158 -0.1819  6.4440  5.5246  5.1012  4.9992  4.9784  4.9750
  75  0.823391  3.7591  4.5096 -0.1665  6.3857  5.4805  5.0634  4.9639  4.9448  4.9422
  76  0.827878  3.7607  4.5032 -0.1513  6.3291  5.4372  5.0263  4.9291  4.9116  4.9098
  77  0.832288  3.7623  4.4968 -0.1363  6.2739  5.3947  4.9898  4.8948  4.8788  4.8778
  78  0.836630  3.7638  4.4903 -0.1215  6.2203  5.3529  4.9538  4.8610  4.8464  4.8461
  79  0.840910  3.7652  4.4837 -0.1069  6.1680  5.3120  4.9183  4.8276  4.8144  4.8148
  80  0.845130  3.7666  4.4770 -0.0925  6.1170  5.2717  4.8832  4.7945  4.7827  4.7837
  81  0.849294  3.7680  4.4704 -0.0783  6.0673  5.2319  4.8485  4.7617  4.7513  4.7529
  82  0.853796  3.7694  4.4629 -0.0629  6.0144  5.1892  4.8110  4.7263  4.7171  4.7194
  83  0.858243  3.7708  4.4555 -0.0477  5.9626  5.1471  4.7739  4.6912  4.6832  4.6861
  84  0.862622  3.7721  4.4479 -0.0326  5.9123  5.1056  4.7371  4.6562  4.6496  4.6530
  85  0.866924  3.7734  4.4404 -0.0178  5.8632  5.0648  4.7007  4.6217  4.6162  4.6202
