#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2470 1.2466E-03 6.3454E-04  -1.43   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 7.000 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.107228  3.5272  5.3397 -2.8092 16.4297 14.1416 12.6071 11.6146 11.2358 11.1277
  11  0.118828  3.5329  5.2876 -2.6897 16.0138 13.7513 12.2296 11.3101 10.9462 10.8388
  12  0.132797  3.5391  5.2342 -2.5633 15.5671 13.3396 11.8346 10.9878 10.6388 10.5325
  13  0.151870  3.5468  5.1815 -2.4217 15.0587 12.8763 11.3942 10.6264 10.2947 10.1902
  14  0.176795  3.5558  5.1373 -2.2756 14.5225 12.3930 10.9418 10.2521  9.9393  9.8378
  15  0.199977  3.5625  5.1037 -2.1614 14.1140 12.0257 10.6008  9.9607  9.6608  9.5618
  16  0.219664  3.5669  5.0764 -2.0758 13.8200 11.7603 10.3542  9.7434  9.4516  9.3544
  17  0.237819  3.5703  5.0538 -2.0050 13.5812 11.5445 10.1539  9.5641  9.2783  9.1824
  18  0.254351  3.5730  5.0354 -1.9465 13.3850 11.3668  9.9894  9.4158  9.1349  9.0401
  19  0.270564  3.5754  5.0198 -1.8943 13.2115 11.2096  9.8439  9.2840  9.0074  8.9136
  20  0.284766  3.5774  5.0069 -1.8514 13.0692 11.0804  9.7247  9.1753  8.9021  8.8091
  21  0.295894  3.5789  4.9963 -1.8183 12.9601 10.9810  9.6332  9.0916  8.8210  8.7286
  22  0.304335  3.5799  4.9879 -1.7934 12.8784 10.9065  9.5647  9.0286  8.7599  8.6681
  23  0.310799  3.5807  4.9817 -1.7749 12.8182 10.8516  9.5142  8.9820  8.7147  8.6231
  24  0.315777  3.5813  4.9769 -1.7610 12.7728 10.8101  9.4760  8.9467  8.6802  8.5891
  25  0.319827  3.5818  4.9731 -1.7497 12.7362 10.7767  9.4453  8.9183  8.6527  8.5617
  26  0.323374  3.5822  4.9698 -1.7400 12.7045 10.7477  9.4186  8.8937  8.6289  8.5381
  27  0.327056  3.5826  4.9670 -1.7303 12.6728 10.7188  9.3921  8.8694  8.6054  8.5148
  28  0.331484  3.5832  4.9639 -1.7193 12.6360 10.6853  9.3615  8.8414  8.5783  8.4879
  29  0.335537  3.5836  4.9613 -1.7098 12.6042 10.6580  9.3369  8.8178  8.5550  8.4647
  30  0.349456  3.5859  4.9489 -1.6710 12.4745 10.5359  9.2231  8.7193  8.4617  8.3726
  31  0.367802  3.5887  4.9326 -1.6215 12.3039 10.3826  9.0858  8.5937  8.3409  8.2530
  32  0.413753  3.5981  4.8788 -1.4785 11.7836  9.9247  8.6893  8.2309  7.9930  7.9095
  33  0.428324  3.6019  4.8590 -1.4282 11.5966  9.7590  8.5481  8.1029  7.8712  7.7896
  34  0.440486  3.6057  4.8423 -1.3845 11.4329  9.6131  8.4245  7.9916  7.7657  7.6860
  35  0.453364  3.6101  4.8250 -1.3372 11.2526  9.4525  8.2905  7.8712  7.6520  7.5743
  36  0.467038  3.6154  4.8074 -1.2852 11.0498  9.2719  8.1426  7.7388  7.5277  7.4524
  37  0.480141  3.6212  4.7915 -1.2337 10.8434  9.0877  7.9951  7.6074  7.4050  7.3326
  38  0.492195  3.6272  4.7780 -1.1856 10.6437  8.9082  7.8550  7.4850  7.2919  7.2224
  39  0.502827  3.6329  4.7673 -1.1430 10.4614  8.7453  7.7302  7.3767  7.1929  7.1261
  40  0.512084  3.6382  4.7593 -1.1057 10.2947  8.5985  7.6199  7.2818  7.1065  7.0424
  41  0.520628  3.6436  4.7531 -1.0707 10.1315  8.4582  7.5159  7.1929  7.0261  6.9647
  42  0.529406  3.6495  4.7475 -1.0346  9.9564  8.3123  7.4083  7.1013  6.9434  6.8848
  43  0.539231  3.6561  4.7421 -0.9945  9.7543  8.1491  7.2887  6.9992  6.8513  6.7960
  44  0.550613  3.6639  4.7363 -0.9483  9.5130  7.9634  7.1524  6.8819  6.7452  6.6941
  45  0.563500  3.6727  4.7296 -0.8966  9.2343  7.7598  7.0014  6.7503  6.6258  6.5794
  46  0.576994  3.6819  4.7230 -0.8429  8.9421  7.5541  6.8468  6.6141  6.5018  6.4607
  47  0.590700  3.6911  4.7161 -0.7889  8.6547  7.3565  6.6950  6.4790  6.3785  6.3425
  48  0.604319  3.6999  4.7084 -0.7361  8.3806  7.1709  6.5497  6.3488  6.2589  6.2279
  49  0.617731  3.7084  4.7004 -0.6849  8.1239  6.9965  6.4112  6.2241  6.1443  6.1180
  50  0.630730  3.7163  4.6920 -0.6356  7.8908  6.8346  6.2807  6.1064  6.0357  6.0137
  51  0.643084  3.7236  4.6834 -0.5893  7.6817  6.6866  6.1602  5.9970  5.9347  5.9164
  52  0.648606  3.7268  4.6793 -0.5687  7.5915  6.6221  6.1073  5.9490  5.8901  5.8734
  53  0.654059  3.7299  4.6751 -0.5485  7.5038  6.5594  6.0556  5.9020  5.8465  5.8314
  54  0.659431  3.7329  4.6707 -0.5287  7.4188  6.4983  6.0053  5.8562  5.8039  5.7903
  55  0.664736  3.7358  4.6663 -0.5091  7.3364  6.4387  5.9561  5.8112  5.7621  5.7499
  56  0.669985  3.7386  4.6617 -0.4899  7.2565  6.3805  5.9079  5.7670  5.7209  5.7103
  57  0.675189  3.7413  4.6570 -0.4708  7.1788  6.3234  5.8604  5.7237  5.6804  5.6711
  58  0.680352  3.7440  4.6522 -0.4519  7.1033  6.2673  5.8138  5.6809  5.6404  5.6323
  59  0.685481  3.7466  4.6472 -0.4332  7.0298  6.2122  5.7678  5.6386  5.6007  5.5940
  60  0.690586  3.7492  4.6421 -0.4147  6.9579  6.1577  5.7221  5.5967  5.5615  5.5558
  61  0.695663  3.7517  4.6368 -0.3962  6.8877  6.1041  5.6770  5.5551  5.5224  5.5179
  62  0.700708  3.7541  4.6314 -0.3779  6.8189  6.0511  5.6324  5.5140  5.4836  5.4804
  63  0.705715  3.7566  4.6258 -0.3597  6.7516  5.9989  5.5881  5.4731  5.4451  5.4429
  64  0.710671  3.7588  4.6199 -0.3416  6.6861  5.9475  5.5443  5.4326  5.4069  5.4057
  65  0.715565  3.7611  4.6139 -0.3237  6.6222  5.8969  5.5011  5.3926  5.3689  5.3687
  66  0.720402  3.7632  4.6076 -0.3060  6.5599  5.8472  5.4584  5.3529  5.3313  5.3322
  67  0.725166  3.7653  4.6014 -0.2887  6.4991  5.7982  5.4165  5.3138  5.2943  5.2960
  68  0.729873  3.7673  4.5951 -0.2715  6.4396  5.7502  5.3751  5.2753  5.2577  5.2603
  69  0.734519  3.7693  4.5888 -0.2545  6.3814  5.7028  5.3343  5.2373  5.2216  5.2251
  70  0.739106  3.7712  4.5825 -0.2377  6.3245  5.6563  5.2941  5.1999  5.1860  5.1903
  71  0.743642  3.7732  4.5764 -0.2212  6.2687  5.6104  5.2546  5.1632  5.1510  5.1561
  72  0.748128  3.7750  4.5703 -0.2049  6.2139  5.5654  5.2157  5.1270  5.1165  5.1225
  73  0.752561  3.7769  4.5643 -0.1889  6.1601  5.5210  5.1775  5.0915  5.0827  5.0894
  74  0.756961  3.7788  4.5585 -0.1730  6.1075  5.4774  5.1398  5.0563  5.0493  5.0568
  75  0.761328  3.7806  4.5528 -0.1574  6.0557  5.4342  5.1025  5.0217  5.0163  5.0246
  76  0.765647  3.7824  4.5472 -0.1421  6.0050  5.3918  5.0660  4.9877  4.9838  4.9929
  77  0.769915  3.7843  4.5416 -0.1268  5.9552  5.3500  5.0299  4.9541  4.9519  4.9617
  78  0.774130  3.7861  4.5362 -0.1119  5.9064  5.3089  4.9944  4.9212  4.9205  4.9309
  79  0.778278  3.7878  4.5308 -0.0971  5.8585  5.2685  4.9594  4.8887  4.8895  4.9006
  80  0.782354  3.7895  4.5254 -0.0826  5.8117  5.2287  4.9250  4.8567  4.8590  4.8708
  81  0.786354  3.7911  4.5199 -0.0683  5.7659  5.1895  4.8911  4.8251  4.8289  4.8413
  82  0.791411  3.7933  4.5128 -0.0500  5.7076  5.1395  4.8481  4.7852  4.7908  4.8040
  83  0.796391  3.7953  4.5055 -0.0319  5.6502  5.0900  4.8052  4.7456  4.7529  4.7669
  84  0.801279  3.7972  4.4979 -0.0139  5.5937  5.0408  4.7628  4.7060  4.7151  4.7298
  85  0.806059  3.7991  4.4901  0.0040  5.5383  4.9922  4.7206  4.6667  4.6773  4.6927
  86  0.810730  3.8008  4.4822  0.0217  5.4837  4.9442  4.6787  4.6277  4.6398  4.6559
  87  0.815302  3.8026  4.4740  0.0392  5.4301  4.8968  4.6371  4.5887  4.6024  4.6191
  88  0.819777  3.8044  4.4658  0.0566  5.3773  4.8498  4.5957  4.5499  4.5650  4.5824
