#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2538 5.4212E-03 2.7595E-03  -0.78   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE=11.700 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  12  0.107025  3.5144  5.3133 -2.8346 16.3912 14.4181 12.9987 11.7399 11.2590 11.1252
  13  0.123123  3.5157  5.2438 -2.6991 16.0094 14.0513 12.6384 11.3998 10.9220 10.7874
  14  0.143188  3.5175  5.1746 -2.5573 15.6057 13.6614 12.2556 11.0425 10.5693 10.4342
  15  0.166717  3.5211  5.1208 -2.4230 15.2036 13.2656 11.8693 10.6983 10.2359 10.1018
  16  0.187925  3.5257  5.0873 -2.3193 14.8749 12.9376 11.5511 10.4282  9.9793  9.8473
  17  0.204563  3.5291  5.0635 -2.2448 14.6374 12.7008 11.3212 10.2342  9.7955  9.6655
  18  0.218844  3.5319  5.0440 -2.1850 14.4468 12.5114 11.1377 10.0787  9.6480  9.5196
  19  0.232243  3.5345  5.0273 -2.1323 14.2779 12.3436 10.9752  9.9414  9.5182  9.3912
  20  0.245724  3.5370  5.0119 -2.0826 14.1189 12.1856 10.8225  9.8122  9.3960  9.2706
  21  0.260250  3.5395  4.9971 -2.0330 13.9607 12.0283 10.6705  9.6833  9.2740  9.1501
  22  0.275388  3.5420  4.9827 -1.9841 13.8048 11.8735 10.5211  9.5565  9.1542  9.0318
  23  0.289302  3.5441  4.9701 -1.9410 13.6682 11.7381 10.3902  9.4451  9.0486  8.9278
  24  0.300643  3.5459  4.9598 -1.9069 13.5606 11.6315 10.2870  9.3572  8.9656  8.8457
  25  0.308889  3.5472  4.9525 -1.8827 13.4842 11.5556 10.2135  9.2948  8.9064  8.7875
  26  0.314908  3.5481  4.9472 -1.8652 13.4296 11.5013 10.1610  9.2499  8.8641  8.7456
  27  0.319367  3.5487  4.9430 -1.8523 13.3893 11.4612 10.1221  9.2167  8.8326  8.7146
  28  0.322954  3.5494  4.9399 -1.8420 13.3568 11.4288 10.0908  9.1902  8.8076  8.6900
