#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2538 5.4212E-03 2.7595E-03  -0.78   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 8.100 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  11  0.116409  3.5152  5.2727 -2.7544 16.1655 14.2012 12.7856 11.5387 11.0597 10.9254
  12  0.134390  3.5166  5.2034 -2.6174 15.7785 13.8289 12.4198 11.1942 10.7186 10.5836
  13  0.159490  3.5197  5.1372 -2.4645 15.3319 13.3926 11.9928 10.8055 10.3388 10.2043
  14  0.188544  3.5256  5.0915 -2.3223 14.8844 12.9465 11.5600 10.4359  9.9869  9.8550
  15  0.210624  3.5302  5.0624 -2.2270 14.5792 12.6419 11.2645 10.1871  9.7514  9.6221
  16  0.227774  3.5335  5.0410 -2.1584 14.3599 12.4235 11.0528 10.0085  9.5826  9.4552
  17  0.243052  3.5363  5.0236 -2.1014 14.1768 12.2416 10.8769  9.8601  9.4424  9.3167
  18  0.258662  3.5391  5.0075 -2.0477 14.0051 12.0708 10.7119  9.7204  9.3103  9.1862
  19  0.274018  3.5416  4.9929 -1.9978 13.8460 11.9130 10.5594  9.5911  9.1879  9.0654
  20  0.287889  3.5438  4.9799 -1.9544 13.7082 11.7766 10.4276  9.4791  9.0818  8.9607
  21  0.298904  3.5455  4.9692 -1.9204 13.6006 11.6702 10.3247  9.3912  8.9986  8.8786
  22  0.307089  3.5468  4.9608 -1.8951 13.5215 11.5918 10.2487  9.3262  8.9369  8.8178
  23  0.313089  3.5476  4.9545 -1.8769 13.4647 11.5354 10.1941  9.2794  8.8925  8.7738
  24  0.317709  3.5483  4.9497 -1.8629 13.4216 11.4926 10.1525  9.2437  8.8586  8.7403
  25  0.321528  3.5490  4.9460 -1.8517 13.3865 11.4577 10.1188  9.2148  8.8313  8.7134
  26  0.325052  3.5495  4.9424 -1.8411 13.3534 11.4247 10.0869  9.1876  8.8055  8.6880
