#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2462 7.1815E-04 3.6555E-04  -1.66   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE=10.400 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  12  0.108619  3.5331  5.3389 -2.7789 16.3263 13.9697 12.4099 11.5199 11.1709 11.0678
  13  0.119982  3.5399  5.2880 -2.6580 15.8861 13.5667 12.0257 11.2132 10.8791 10.7766
  14  0.133562  3.5471  5.2364 -2.5308 15.4190 13.1460 11.6283 10.8905 10.5713 10.4699
  15  0.150084  3.5546  5.1891 -2.4027 14.9454 12.7253 11.2356 10.5652 10.2603 10.1608
  16  0.168257  3.5618  5.1522 -2.2876 14.5166 12.3480 10.8883 10.2722  9.9802  9.8830
  17  0.185121  3.5675  5.1237 -2.1952 14.1781 12.0502 10.6169 10.0374  9.7548  9.6595
  18  0.200537  3.5716  5.0994 -2.1195 13.9079 11.8125 10.4006  9.8455  9.5698  9.4760
  19  0.216226  3.5751  5.0768 -2.0502 13.6656 11.5990 10.2067  9.6702  9.4001  9.3076
  20  0.232260  3.5782  5.0561 -1.9862 13.4441 11.4040 10.0296  9.5086  9.2433  9.1518
  21  0.247771  3.5810  5.0384 -1.9294 13.2480 11.2319  9.8743  9.3656  9.1043  9.0138
  22  0.263391  3.5834  5.0227 -1.8773 13.0674 11.0740  9.7324  9.2341  8.9764  8.8869
  23  0.278646  3.5857  5.0087 -1.8295 12.9003 10.9293  9.6034  9.1139  8.8595  8.7709
  24  0.292322  3.5877  4.9969 -1.7890 12.7574 10.8062  9.4944  9.0120  8.7605  8.6725
  25  0.303009  3.5892  4.9881 -1.7588 12.6510 10.7144  9.4132  8.9359  8.6865  8.5990
  26  0.310547  3.5900  4.9822 -1.7384 12.5804 10.6533  9.3590  8.8849  8.6368  8.5497
  27  0.316106  3.5907  4.9783 -1.7242 12.5309 10.6103  9.3207  8.8488  8.6017  8.5149
  28  0.320350  3.5912  4.9754 -1.7134 12.4937 10.5779  9.2921  8.8219  8.5755  8.4889
  29  0.323838  3.5917  4.9729 -1.7046 12.4630 10.5511  9.2683  8.7995  8.5538  8.4674
  30  0.327258  3.5921  4.9711 -1.6963 12.4336 10.5257  9.2462  8.7788  8.5337  8.4475
  31  0.330937  3.5925  4.9687 -1.6873 12.4017 10.4981  9.2219  8.7560  8.5115  8.4255
  32  0.334733  3.5930  4.9657 -1.6777 12.3678 10.4687  9.1960  8.7315  8.4875  8.4017
