#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2473 1.4077E-03 7.1655E-04  -1.37   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE=11.100 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  12  0.107244  3.5259  5.3361 -2.8110 16.4305 14.1660 12.6419 11.6237 11.2365 11.1268
  13  0.119597  3.5314  5.2809 -2.6864 16.0052 13.7646 12.2530 11.3064 10.9337 10.8247
  14  0.134295  3.5374  5.2256 -2.5567 15.5548 13.3468 11.8511 10.9757 10.6178 10.5098
  15  0.151922  3.5442  5.1764 -2.4269 15.0947 12.9239 11.4479 10.6438 10.3015 10.1952
  16  0.170806  3.5510  5.1391 -2.3114 14.6764 12.5428 11.0885 10.3473 10.0202  9.9162
  17  0.188133  3.5566  5.1105 -2.2187 14.3451 12.2413 10.8065 10.1099  9.7942  9.6922
  18  0.203687  3.5607  5.0865 -2.1436 14.0836 12.0037 10.5844  9.9186  9.6110  9.5106
  19  0.219185  3.5640  5.0643 -2.0758 13.8532 11.7937 10.3880  9.7463  9.4453  9.3463
  20  0.235336  3.5671  5.0438 -2.0121 13.6389 11.5983 10.2058  9.5844  9.2892  9.1914
  21  0.251047  3.5698  5.0261 -1.9555 13.4504 11.4264 10.0455  9.4411  9.1510  9.0543
  22  0.267070  3.5723  5.0106 -1.9034 13.2776 11.2680  9.8980  9.3088  9.0233  8.9278
  23  0.282146  3.5744  4.9975 -1.8578 13.1279 11.1303  9.7697  9.1934  8.9119  8.8173
  24  0.294230  3.5760  4.9869 -1.8228 13.0128 11.0240  9.6709  9.1042  8.8259  8.7320
  25  0.303558  3.5772  4.9790 -1.7963 12.9265 10.9442  9.5969  9.0373  8.7613  8.6680
  26  0.310622  3.5782  4.9733 -1.7772 12.8642 10.8867  9.5436  8.9888  8.7144  8.6216
  27  0.315965  3.5788  4.9692 -1.7632 12.8184 10.8445  9.5045  8.9532  8.6801  8.5876
  28  0.320147  3.5793  4.9661 -1.7523 12.7827 10.8115  9.4742  8.9257  8.6534  8.5612
  29  0.323584  3.5797  4.9634 -1.7431 12.7525 10.7839  9.4486  8.9025  8.6311  8.5390
  30  0.326866  3.5802  4.9608 -1.7344 12.7235 10.7573  9.4242  8.8805  8.6100  8.5181
  31  0.330344  3.5806  4.9582 -1.7253 12.6931 10.7294  9.3986  8.8573  8.5877  8.4961
  32  0.334200  3.5812  4.9550 -1.7151 12.6594 10.6982  9.3699  8.8314  8.5628  8.4713
  33  0.336856  3.5813  4.9529 -1.7085 12.6376 10.6801  9.3535  8.8153  8.5467  8.4552
  34  0.346090  3.5827  4.9440 -1.6825 12.5523 10.6001  9.2783  8.7494  8.4837  8.3930
  35  0.361525  3.5857  4.9269 -1.6353 12.3954 10.4507  9.1382  8.6294  8.3707  8.2815
  36  0.390442  3.5909  4.8946 -1.5487 12.0921 10.1795  8.8976  8.4100  8.1599  8.0731
  37  0.416833  3.5970  4.8612 -1.4618 11.7723  9.8972  8.6543  8.1893  7.9493  7.8655
  38  0.428935  3.6003  4.8439 -1.4186 11.6127  9.7545  8.5315  8.0792  7.8449  7.7627
  39  0.439574  3.6038  4.8286 -1.3791 11.4662  9.6226  8.4188  7.9789  7.7502  7.6696
  40  0.450442  3.6076  4.8133 -1.3379 11.3104  9.4825  8.3006  7.8738  7.6514  7.5726
  41  0.462123  3.6121  4.7973 -1.2926 11.1361  9.3260  8.1707  7.7585  7.5432  7.4665
  42  0.473855  3.6174  4.7819 -1.2455 10.9511  9.1597  8.0360  7.6387  7.4313  7.3570
  43  0.484856  3.6227  4.7683 -1.2004 10.7681  8.9949  7.9055  7.5238  7.3247  7.2530
  44  0.494986  3.6281  4.7568 -1.1583 10.5913  8.8355  7.7822  7.4167  7.2262  7.1571
  45  0.504303  3.6334  4.7471 -1.1193 10.4227  8.6849  7.6678  7.3177  7.1356  7.0692
  46  0.512984  3.6388  4.7392 -1.0825 10.2582  8.5397  7.5590  7.2244  7.0510  6.9869
  47  0.521501  3.6445  4.7325 -1.0460 10.0870  8.3929  7.4504  7.1316  6.9670  6.9058
  48  0.530328  3.6507  4.7264 -1.0080  9.9012  8.2383  7.3368  7.0349  6.8797  6.8214
  49  0.539517  3.6574  4.7209 -0.9681  9.6981  8.0760  7.2183  6.9337  6.7883  6.7334
  50  0.549153  3.6644  4.7155 -0.9264  9.4754  7.9072  7.0949  6.8274  6.6923  6.6411
  51  0.559127  3.6717  4.7095 -0.8836  9.2428  7.7375  6.9699  6.7183  6.5931  6.5460
  52  0.564164  3.6754  4.7065 -0.8620  9.1252  7.6539  6.9075  6.6635  6.5432  6.4982
  53  0.569177  3.6790  4.7035 -0.8406  9.0090  7.5720  6.8460  6.6092  6.4937  6.4506
  54  0.574168  3.6827  4.7003 -0.8194  8.8943  7.4922  6.7854  6.5554  6.4445  6.4036
  55  0.579152  3.6862  4.6970 -0.7981  8.7810  7.4141  6.7257  6.5022  6.3958  6.3568
  56  0.584119  3.6896  4.6936 -0.7771  8.6692  7.3376  6.6668  6.4495  6.3475  6.3104
  57  0.589062  3.6931  4.6902 -0.7562  8.5586  7.2628  6.6088  6.3974  6.2997  6.2646
  58  0.593976  3.6964  4.6867 -0.7355  8.4498  7.1897  6.5517  6.3461  6.2526  6.2193
  59  0.598852  3.6998  4.6830 -0.7150  8.3439  7.1183  6.4957  6.2957  6.2061  6.1748
  60  0.603671  3.7031  4.6792 -0.6946  8.2411  7.0489  6.4408  6.2462  6.1605  6.1310
  61  0.608435  3.7063  4.6754 -0.6747  8.1413  6.9813  6.3870  6.1976  6.1156  6.0879
  62  0.613142  3.7094  4.6714 -0.6549  8.0455  6.9155  6.3342  6.1497  6.0715  6.0455
  63  0.617793  3.7124  4.6674 -0.6354  7.9541  6.8514  6.2823  6.1028  6.0280  6.0037
  64  0.622377  3.7154  4.6634 -0.6162  7.8658  6.7889  6.2314  6.0567  5.9854  5.9626
  65  0.626897  3.7183  4.6592 -0.5972  7.7806  6.7280  6.1817  6.0114  5.9435  5.9222
  66  0.631351  3.7212  4.6549 -0.5785  7.6981  6.6686  6.1329  5.9671  5.9024  5.8826
  67  0.635737  3.7240  4.6506 -0.5599  7.6180  6.6106  6.0850  5.9236  5.8620  5.8437
  68  0.640058  3.7267  4.6462 -0.5418  7.5395  6.5540  6.0383  5.8810  5.8224  5.8054
  69  0.644310  3.7293  4.6417 -0.5240  7.4627  6.4988  5.9926  5.8392  5.7835  5.7678
  70  0.648497  3.7319  4.6370 -0.5064  7.3878  6.4448  5.9477  5.7982  5.7452  5.7309
  71  0.652621  3.7344  4.6323 -0.4889  7.3151  6.3919  5.9039  5.7580  5.7077  5.6946
  72  0.656688  3.7367  4.6274 -0.4718  7.2445  6.3404  5.8608  5.7184  5.6706  5.6588
  73  0.660689  3.7390  4.6224 -0.4550  7.1758  6.2899  5.8186  5.6796  5.6342  5.6235
  74  0.664625  3.7413  4.6174 -0.4384  7.1092  6.2406  5.7773  5.6415  5.5985  5.5889
  75  0.668503  3.7434  4.6122 -0.4220  7.0446  6.1922  5.7366  5.6039  5.5632  5.5546
  76  0.672319  3.7455  4.6068 -0.4058  6.9820  6.1449  5.6966  5.5669  5.5284  5.5208
  77  0.676078  3.7476  4.6014 -0.3899  6.9212  6.0985  5.6573  5.5306  5.4941  5.4874
  78  0.679772  3.7495  4.5960 -0.3741  6.8619  6.0531  5.6186  5.4948  5.4602  5.4546
  79  0.683408  3.7515  4.5904 -0.3587  6.8041  6.0084  5.5807  5.4595  5.4268  5.4221
  80  0.686980  3.7533  4.5848 -0.3433  6.7478  5.9646  5.5432  5.4247  5.3939  5.3900
  81  0.690494  3.7551  4.5790 -0.3282  6.6929  5.9216  5.5062  5.3904  5.3614  5.3584
  82  0.695219  3.7575  4.5711 -0.3077  6.6197  5.8637  5.4565  5.3440  5.3173  5.3154
  83  0.699896  3.7597  4.5629 -0.2874  6.5480  5.8065  5.4070  5.2978  5.2734  5.2724
  84  0.704518  3.7620  4.5545 -0.2671  6.4773  5.7498  5.3578  5.2518  5.2296  5.2297
  85  0.709071  3.7642  4.5459 -0.2470  6.4083  5.6938  5.3091  5.2061  5.1859  5.1870
  86  0.713546  3.7663  4.5370 -0.2270  6.3406  5.6383  5.2607  5.1607  5.1425  5.1445
  87  0.717938  3.7683  4.5280 -0.2072  6.2742  5.5837  5.2127  5.1157  5.0994  5.1022
  88  0.722244  3.7703  4.5188 -0.1875  6.2093  5.5297  5.1654  5.0711  5.0566  5.0604
  89  0.726463  3.7722  4.5095 -0.1681  6.1456  5.4764  5.1184  5.0268  5.0141  5.0187
  90  0.730596  3.7741  4.5001 -0.1489  6.0832  5.4239  5.0721  4.9831  4.9721  4.9774
  91  0.734646  3.7758  4.4906 -0.1298  6.0219  5.3721  5.0261  4.9398  4.9303  4.9364
  92  0.738614  3.7775  4.4810 -0.1109  5.9616  5.3208  4.9806  4.8967  4.8888  4.8956
  93  0.742506  3.7792  4.4713 -0.0921  5.9023  5.2700  4.9355  4.8541  4.8476  4.8552
  94  0.746327  3.7809  4.4617 -0.0735  5.8439  5.2198  4.8908  4.8117  4.8067  4.8149
  95  0.750079  3.7826  4.4519 -0.0550  5.7864  5.1700  4.8464  4.7696  4.7660  4.7749
  96  0.753768  3.7842  4.4422 -0.0366  5.7294  5.1206  4.8021  4.7276  4.7255  4.7351
  97  0.757399  3.7857  4.4322 -0.0183  5.6734  5.0715  4.7582  4.6860  4.6852  4.6953
  98  0.760967  3.7873  4.4222 -0.0003  5.6179  5.0228  4.7145  4.6445  4.6450  4.6558
  99  0.764470  3.7888  4.4122  0.0177  5.5630  4.9745  4.6712  4.6034  4.6051  4.6165
 100  0.767905  3.7903  4.4020  0.0357  5.5089  4.9266  4.6283  4.5626  4.5655  4.5775
 101  0.771270  3.7916  4.3918  0.0534  5.4554  4.8790  4.5856  4.5221  4.5262  4.5387
 102  0.774561  3.7930  4.3813  0.0711  5.4029  4.8320  4.5432  4.4817  4.4870  4.5001
 103  0.777780  3.7943  4.3708  0.0886  5.3510  4.7853  4.5010  4.4416  4.4480  4.4615
 104  0.780924  3.7955  4.3602  0.1059  5.3001  4.7391  4.4592  4.4018  4.4092  4.4231
 105  0.783999  3.7967  4.3495  0.1230  5.2500  4.6935  4.4176  4.3620  4.3704  4.3849
 106  0.787004  3.7978  4.3386  0.1400  5.2006  4.6484  4.3763  4.3225  4.3318  4.3467
 107  0.789943  3.7989  4.3276  0.1570  5.1521  4.6037  4.3354  4.2832  4.2934  4.3086
 108  0.792825  3.7999  4.3165  0.1737  5.1044  4.5596  4.2947  4.2441  4.2551  4.2708
 109  0.795650  3.8008  4.3053  0.1903  5.0575  4.5160  4.2544  4.2053  4.2170  4.2330
 110  0.798415  3.8017  4.2940  0.2066  5.0114  4.4730  4.2143  4.1667  4.1790  4.1954
 111  0.801072  3.8026  4.2826  0.2229  4.9659  4.4305  4.1749  4.1284  4.1415  4.1582
 112  0.801966  3.8029  4.2786  0.2285  4.9499  4.4156  4.1611  4.1151  4.1285  4.1452
 113  0.802858  3.8033  4.2748  0.2343  4.9337  4.4005  4.1472  4.1018  4.1154  4.1323
 114  0.803747  3.8036  4.2709  0.2400  4.9175  4.3853  4.1331  4.0883  4.1021  4.1192
 115  0.804633  3.8039  4.2669  0.2458  4.9011  4.3702  4.1191  4.0748  4.0887  4.1060
 116  0.805517  3.8042  4.2628  0.2516  4.8848  4.3547  4.1048  4.0611  4.0753  4.0925
 117  0.806396  3.8046  4.2586  0.2575  4.8683  4.3392  4.0904  4.0471  4.0615  4.0790
