#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2510 3.7060E-03 1.8864E-03  -0.96   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 7.200 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.109309  3.5176  5.3121 -2.8119 16.3667 14.2987 12.8537 11.6635 11.2118 11.0875
  11  0.123956  3.5197  5.2487 -2.6855 15.9970 13.9410 12.5037 11.3437 10.8976 10.7731
  12  0.142870  3.5225  5.1837 -2.5474 15.5881 13.5445 12.1160 10.9934 10.5551 10.4306
  13  0.169114  3.5281  5.1273 -2.3957 15.1123 13.0773 11.6615 10.6023 10.1798 10.0567
  14  0.196224  3.5350  5.0895 -2.2655 14.6825 12.6525 11.2501 10.2632  9.8602  9.7402
  15  0.216768  3.5397  5.0630 -2.1770 14.3911 12.3661 10.9726 10.0330  9.6430  9.5254
  16  0.233386  3.5432  5.0430 -2.1107 14.1729 12.1524 10.7660  9.8611  9.4808  9.3652
  17  0.248312  3.5462  5.0265 -2.0554 13.9921 11.9756 10.5951  9.7181  9.3457  9.2317
  18  0.263844  3.5490  5.0110 -2.0025 13.8203 11.8078 10.4330  9.5815  9.2163  9.1041
  19  0.279311  3.5515  4.9969 -1.9534 13.6618 11.6532 10.2835  9.4549  9.0964  8.9856
  20  0.292510  3.5537  4.9845 -1.9125 13.5311 11.5257 10.1603  9.3500  8.9968  8.8874
  21  0.302426  3.5552  4.9744 -1.8817 13.4334 11.4301 10.0680  9.2711  8.9219  8.8133
  22  0.309610  3.5563  4.9669 -1.8595 13.3639 11.3622 10.0021  9.2145  8.8681  8.7602
  23  0.315062  3.5571  4.9611 -1.8430 13.3121 11.3115  9.9530  9.1722  8.8278  8.7203
  24  0.319373  3.5578  4.9565 -1.8300 13.2713 11.2716  9.9144  9.1389  8.7961  8.6890
  25  0.323168  3.5583  4.9527 -1.8187 13.2361 11.2371  9.8811  9.1103  8.7691  8.6622
  26  0.327020  3.5590  4.9491 -1.8076 13.2008 11.2026  9.8478  9.0818  8.7421  8.6356
  27  0.331470  3.5596  4.9451 -1.7952 13.1615 11.1640  9.8105  9.0501  8.7119  8.6058
  28  0.337823  3.5606  4.9405 -1.7783 13.1074 11.1109  9.7593  9.0069  8.6712  8.5657
  29  0.349935  3.5627  4.9307 -1.7450 13.0001 11.0038  9.6565  8.9210  8.5911  8.4869
  30  0.397657  3.5728  4.8819 -1.6003 12.5215 10.5356  9.2102  8.5507  8.2460  8.1476
  31  0.424306  3.5796  4.8505 -1.5130 12.2261 10.2481  8.9382  8.3276  8.0396  7.9449
  32  0.435579  3.5830  4.8360 -1.4735 12.0885 10.1145  8.8131  8.2264  7.9468  7.8541
  33  0.447032  3.5867  4.8213 -1.4333 11.9465  9.9775  8.6866  8.1233  7.8524  7.7617
  34  0.459733  3.5909  4.8055 -1.3880 11.7840  9.8218  8.5448  8.0075  7.7466  7.6581
  35  0.472918  3.5957  4.7890 -1.3399 11.6082  9.6541  8.3946  7.8844  7.6344  7.5484
  36  0.485743  3.6008  4.7734 -1.2923 11.4307  9.4855  8.2468  7.7627  7.5235  7.4401
  37  0.497630  3.6059  4.7597 -1.2480 11.2626  9.3262  8.1107  7.6495  7.4202  7.3392
  38  0.508046  3.6105  4.7485 -1.2090 11.1124  9.1838  7.9918  7.5501  7.3295  7.2508
  39  0.517234  3.6150  4.7392 -1.1742 10.9765  9.0549  7.8859  7.4615  7.2489  7.1723
  40  0.526130  3.6194  4.7306 -1.1403 10.8414  8.9268  7.7825  7.3749  7.1704  7.0958
  41  0.535615  3.6245  4.7221 -1.1039 10.6956  8.7871  7.6713  7.2824  7.0868  7.0144
  42  0.546487  3.6305  4.7134 -1.0623 10.5243  8.6231  7.5434  7.1765  6.9913  6.9216
  43  0.559129  3.6380  4.7046 -1.0137 10.3138  8.4269  7.3942  7.0528  6.8803  6.8140
  44  0.572747  3.6467  4.6971 -0.9609 10.0607  8.2059  7.2311  6.9178  6.7594  6.6973
  45  0.586810  3.6562  4.6909 -0.9063  9.7716  7.9730  7.0630  6.7776  6.6337  6.5763
  46  0.601095  3.6658  4.6848 -0.8514  9.4670  7.7426  6.8971  6.6364  6.5062  6.4539
  47  0.615439  3.6751  4.6783 -0.7973  9.1591  7.5222  6.7370  6.4969  6.3791  6.3321
  48  0.629644  3.6842  4.6714 -0.7443  8.8470  7.3132  6.5843  6.3620  6.2559  6.2141
  49  0.643623  3.6929  4.6642 -0.6928  8.5430  7.1175  6.4396  6.2329  6.1377  6.1010
  50  0.657114  3.7009  4.6566 -0.6439  8.2812  6.9400  6.3035  6.1111  6.0259  5.9937
  51  0.669933  3.7084  4.6487 -0.5979  8.0628  6.7806  6.1770  5.9976  5.9214  5.8932
  52  0.675803  3.7118  4.6450 -0.5769  7.9675  6.7099  6.1201  5.9464  5.8741  5.8477
  53  0.681608  3.7150  4.6412 -0.5563  7.8715  6.6408  6.0644  5.8962  5.8278  5.8031
  54  0.687343  3.7183  4.6372 -0.5359  7.7769  6.5735  6.0101  5.8470  5.7823  5.7594
  55  0.692994  3.7213  4.6332 -0.5158  7.6828  6.5079  5.9572  5.7991  5.7379  5.7165
  56  0.698561  3.7243  4.6290 -0.4961  7.5903  6.4443  5.9056  5.7521  5.6944  5.6746
  57  0.704033  3.7273  4.6247 -0.4768  7.5001  6.3823  5.8554  5.7064  5.6520  5.6338
  58  0.709412  3.7301  4.6204 -0.4578  7.4127  6.3222  5.8066  5.6618  5.6105  5.5938
  59  0.714710  3.7328  4.6160 -0.4392  7.3286  6.2636  5.7588  5.6182  5.5699  5.5547
  60  0.719945  3.7355  4.6115 -0.4209  7.2469  6.2065  5.7120  5.5754  5.5301  5.5161
  61  0.725120  3.7381  4.6068 -0.4027  7.1679  6.1508  5.6662  5.5334  5.4909  5.4783
  62  0.730251  3.7406  4.6020 -0.3848  7.0911  6.0961  5.6209  5.4919  5.4521  5.4407
  63  0.735344  3.7431  4.5971 -0.3671  7.0161  6.0424  5.5765  5.4510  5.4139  5.4036
  64  0.740402  3.7455  4.5922 -0.3495  6.9430  5.9896  5.5325  5.4105  5.3758  5.3668
  65  0.745431  3.7478  4.5869 -0.3320  6.8719  5.9377  5.4889  5.3703  5.3379  5.3301
  66  0.750426  3.7501  4.5816 -0.3146  6.8024  5.8866  5.4459  5.3303  5.3003  5.2936
  67  0.755370  3.7523  4.5760 -0.2974  6.7347  5.8365  5.4033  5.2908  5.2630  5.2573
  68  0.760260  3.7544  4.5703 -0.2804  6.6689  5.7872  5.3613  5.2517  5.2259  5.2214
  69  0.765096  3.7564  4.5645 -0.2636  6.6046  5.7387  5.3198  5.2129  5.1893  5.1857
  70  0.769860  3.7585  4.5585 -0.2469  6.5418  5.6911  5.2790  5.1749  5.1531  5.1505
  71  0.774558  3.7604  4.5524 -0.2305  6.4807  5.6445  5.2389  5.1373  5.1174  5.1157
  72  0.779194  3.7623  4.5462 -0.2143  6.4206  5.5985  5.1995  5.1006  5.0824  5.0816
  73  0.783762  3.7641  4.5400 -0.1983  6.3618  5.5534  5.1609  5.0644  5.0479  5.0480
  74  0.788268  3.7658  4.5336 -0.1825  6.3045  5.5091  5.1229  5.0288  5.0141  5.0149
  75  0.792725  3.7674  4.5273 -0.1669  6.2482  5.4653  5.0854  4.9938  4.9806  4.9823
  76  0.797126  3.7691  4.5207 -0.1515  6.1933  5.4224  5.0485  4.9593  4.9476  4.9500
  77  0.801483  3.7707  4.5141 -0.1363  6.1397  5.3802  5.0122  4.9251  4.9150  4.9181
  78  0.805803  3.7722  4.5074 -0.1213  6.0876  5.3385  4.9762  4.8914  4.8826  4.8863
  79  0.810082  3.7736  4.5008 -0.1065  6.0365  5.2976  4.9407  4.8579  4.8505  4.8550
  80  0.814316  3.7751  4.4941 -0.0918  5.9866  5.2572  4.9055  4.8248  4.8187  4.8238
  81  0.818502  3.7765  4.4872 -0.0773  5.9383  5.2174  4.8706  4.7918  4.7870  4.7927
  82  0.823334  3.7779  4.4793 -0.0606  5.8834  5.1716  4.8301  4.7536  4.7502  4.7565
  83  0.828104  3.7794  4.4712 -0.0440  5.8297  5.1263  4.7901  4.7157  4.7136  4.7206
  84  0.832797  3.7809  4.4632 -0.0276  5.7776  5.0817  4.7503  4.6780  4.6773  4.6848
  85  0.837399  3.7824  4.4550 -0.0115  5.7267  5.0377  4.7110  4.6407  4.6413  4.6494
  86  0.841895  3.7837  4.4471  0.0045  5.6767  4.9944  4.6722  4.6041  4.6058  4.6144
  87  0.846275  3.7851  4.4391  0.0202  5.6278  4.9519  4.6341  4.5677  4.5708  4.5800
  88  0.850530  3.7865  4.4312  0.0356  5.5800  4.9100  4.5965  4.5321  4.5363  4.5460
  89  0.854668  3.7878  4.4233  0.0508  5.5330  4.8689  4.5596  4.4971  4.5024  4.5127
  90  0.858687  3.7891  4.4157  0.0658  5.4871  4.8285  4.5232  4.4626  4.4690  4.4798
  91  0.862591  3.7903  4.4080  0.0805  5.4417  4.7887  4.4876  4.4287  4.4363  4.4476
  92  0.866386  3.7916  4.4004  0.0951  5.3970  4.7497  4.4525  4.3956  4.4040  4.4158
  93  0.870079  3.7928  4.3927  0.1094  5.3532  4.7113  4.4180  4.3628  4.3722  4.3845
  94  0.873681  3.7940  4.3853  0.1234  5.3100  4.6734  4.3840  4.3305  4.3409  4.3537
  95  0.877194  3.7952  4.3777  0.1373  5.2676  4.6361  4.3506  4.2986  4.3101  4.3233
  96  0.880625  3.7963  4.3701  0.1510  5.2257  4.5994  4.3175  4.2672  4.2795  4.2932
  97  0.883980  3.7973  4.3626  0.1645  5.1848  4.5633  4.2850  4.2362  4.2493  4.2634
