#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2462 7.1815E-04 3.6555E-04  -1.66   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 6.800 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.107493  3.5324  5.3457 -2.7934 16.3783 14.0178 12.4563 11.5566 11.2057 11.1025
  11  0.118347  3.5388  5.2965 -2.6767 15.9551 13.6292 12.0851 11.2607 10.9243 10.8216
  12  0.131313  3.5458  5.2457 -2.5529 15.5023 13.2203 11.6981 10.9469 10.6249 10.5233
  13  0.148965  3.5538  5.1944 -2.4145 14.9912 12.7656 11.2728 10.5953 10.2890 10.1893
  14  0.172566  3.5629  5.1503 -2.2704 14.4525 12.2919 10.8373 10.2283  9.9381  9.8413
  15  0.195137  3.5698  5.1165 -2.1555 14.0328 11.9232 10.5021  9.9363  9.6577  9.5633
  16  0.214476  3.5744  5.0893 -2.0690 13.7274 11.6544 10.2581  9.7173  9.4461  9.3533
  17  0.232041  3.5779  5.0667 -1.9983 13.4822 11.4387 10.0624  9.5390  9.2731  9.1815
  18  0.248107  3.5808  5.0480 -1.9393 13.2778 11.2593  9.9005  9.3900  9.1283  9.0378
  19  0.263771  3.5833  5.0320 -1.8866 13.0958 11.1001  9.7572  9.2574  8.9994  8.9098
  20  0.278780  3.5855  5.0178 -1.8392 12.9305 10.9566  9.6290  9.1381  8.8834  8.7946
  21  0.291931  3.5874  5.0057 -1.7995 12.7912 10.8362  9.5219  9.0380  8.7862  8.6981
  22  0.301950  3.5887  4.9962 -1.7699 12.6879 10.7469  9.4426  8.9637  8.7138  8.6262
  23  0.309225  3.5897  4.9893 -1.7490 12.6156 10.6840  9.3865  8.9110  8.6624  8.5752
  24  0.314723  3.5903  4.9841 -1.7335 12.5628 10.6380  9.3455  8.8722  8.6245  8.5376
  25  0.319045  3.5909  4.9802 -1.7216 12.5224 10.6026  9.3139  8.8423  8.5954  8.5086
  26  0.322659  3.5913  4.9771 -1.7119 12.4891 10.5735  9.2879  8.8178  8.5714  8.4849
  27  0.326228  3.5917  4.9744 -1.7027 12.4576 10.5460  9.2636  8.7948  8.5490  8.4626
  28  0.330327  3.5922  4.9717 -1.6928 12.4230 10.5160  9.2371  8.7697  8.5245  8.4383
  29  0.334353  3.5925  4.9697 -1.6840 12.3922 10.4905  9.2155  8.7478  8.5027  8.4167
  30  0.340188  3.5929  4.9676 -1.6722 12.3493 10.4558  9.1867  8.7182  8.4733  8.3875
  31  0.368033  3.5975  4.9413 -1.5946 12.0702 10.2123  8.9749  8.5215  8.2834  8.1995
  32  0.403814  3.6048  4.9009 -1.4843 11.6607  9.8584  8.6727  8.2419  8.0147  7.9344
  33  0.425322  3.6104  4.8745 -1.4129 11.3866  9.6234  8.4766  8.0603  7.8410  7.7634
  34  0.443055  3.6159  4.8515 -1.3500 11.1421  9.4120  8.3020  7.9000  7.6887  7.6139
  35  0.457313  3.6212  4.8332 -1.2969 10.9317  9.2290  8.1534  7.7649  7.5611  7.4888
  36  0.470204  3.6266  4.8171 -1.2469 10.7273  9.0515  8.0116  7.6372  7.4414  7.3718
  37  0.482247  3.6323  4.8030 -1.1989 10.5257  8.8767  7.8742  7.5149  7.3275  7.2608
  38  0.493351  3.6381  4.7911 -1.1544 10.3325  8.7095  7.7450  7.4015  7.2230  7.1592
  39  0.503321  3.6435  4.7816 -1.1143 10.1536  8.5567  7.6283  7.2998  7.1300  7.0690
  40  0.511978  3.6486  4.7744 -1.0793  9.9902  8.4197  7.5251  7.2108  7.0489  6.9905
  41  0.519915  3.6537  4.7688 -1.0467  9.8311  8.2908  7.4289  7.1278  6.9738  6.9181
  42  0.527981  3.6591  4.7637 -1.0134  9.6631  8.1588  7.3308  7.0434  6.8973  6.8445
  43  0.537104  3.6653  4.7585 -0.9761  9.4708  8.0121  7.2215  6.9489  6.8118  6.7622
  44  0.548005  3.6725  4.7523 -0.9322  9.2416  7.8436  7.0944  6.8377  6.7107  6.6651
  45  0.560560  3.6808  4.7451 -0.8819  8.9777  7.6564  6.9513  6.7112  6.5954  6.5544
  46  0.574133  3.6898  4.7377 -0.8280  8.6987  7.4614  6.7998  6.5765  6.4723  6.4365
