#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2470 1.2466E-03 6.3454E-04  -1.43   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 7.500 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.103832  3.5254  5.3555 -2.8461 16.5566 14.2627 12.7247 11.7086 11.3249 11.2165
  11  0.115173  3.5312  5.3032 -2.7259 16.1402 13.8689 12.3431 11.4020 11.0337 10.9262
  12  0.128241  3.5372  5.2501 -2.6020 15.7047 13.4659 11.9555 11.0868 10.7333 10.6265
  13  0.145421  3.5444  5.1965 -2.4654 15.2165 13.0197 11.5300 10.7381 10.4010 10.2958
  14  0.168350  3.5530  5.1501 -2.3209 14.6884 12.5423 11.0809 10.3682 10.0496  9.9471
  15  0.191712  3.5604  5.1143 -2.1990 14.2466 12.1451 10.7116 10.0565  9.7525  9.6527
  16  0.211285  3.5652  5.0863 -2.1093 13.9345 11.8639 10.4503  9.8286  9.5335  9.4356
  17  0.229558  3.5688  5.0622 -2.0346 13.6808 11.6346 10.2374  9.6389  9.3506  9.2541
  18  0.246558  3.5718  5.0421 -1.9716 13.4694 11.4433 10.0602  9.4795  9.1965  9.1010
  19  0.262547  3.5743  5.0256 -1.9177 13.2895 11.2803  9.9093  9.3432  9.0645  8.9702
  20  0.277994  3.5765  5.0114 -1.8699 13.1309 11.1365  9.7763  9.2222  8.9475  8.8541
  21  0.290655  3.5782  4.9997 -1.8322 13.0061 11.0230  9.6717  9.1267  8.8549  8.7623
  22  0.300391  3.5795  4.9904 -1.8035 12.9115 10.9368  9.5925  9.0541  8.7845  8.6924
  23  0.307842  3.5804  4.9833 -1.7820 12.8414 10.8728  9.5336  8.9999  8.7319  8.6403
  24  0.313530  3.5811  4.9781 -1.7661 12.7895 10.8254  9.4901  8.9596  8.6929  8.6015
  25  0.318025  3.5816  4.9739 -1.7537 12.7493 10.7886  9.4563  8.9284  8.6626  8.5714
  26  0.321746  3.5821  4.9706 -1.7435 12.7160 10.7583  9.4283  8.9026  8.6375  8.5466
  27  0.325308  3.5825  4.9677 -1.7341 12.6850 10.7301  9.4025  8.8789  8.6146  8.5239
  28  0.329265  3.5830  4.9648 -1.7241 12.6518 10.6998  9.3747  8.8535  8.5900  8.4995
  29  0.333921  3.5835  4.9614 -1.7123 12.6130 10.6644  9.3423  8.8239  8.5614  8.4712
  30  0.340813  3.5844  4.9565 -1.6950 12.5548 10.6119  9.2941  8.7802  8.5192  8.4292
  31  0.353670  3.5866  4.9445 -1.6589 12.4333 10.4985  9.1892  8.6884  8.4321  8.3433
