#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2468 1.1135E-03 5.6676E-04  -1.49   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE=11.200 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  12  0.105764  3.5278  5.3467 -2.8197 16.4705 14.1583 12.6128 11.6366 11.2642 11.1573
  13  0.117343  3.5342  5.2943 -2.6966 16.0339 13.7503 12.2189 11.3232 10.9670 10.8610
  14  0.130893  3.5410  5.2410 -2.5690 15.5732 13.3289 11.8158 10.9980 10.6578 10.5529
  15  0.147264  3.5482  5.1916 -2.4393 15.1004 12.9020 11.4116 10.6676 10.3432 10.2400
  16  0.165504  3.5554  5.1525 -2.3210 14.6636 12.5117 11.0467 10.3655 10.0556  9.9547
  17  0.182932  3.5612  5.1224 -2.2239 14.3097 12.1959 10.7542 10.1176  9.8188  9.7199
  18  0.198811  3.5656  5.0970 -2.1449 14.0303 11.9465 10.5237  9.9168  9.6261  9.5288
  19  0.214750  3.5691  5.0734 -2.0735 13.7850 11.7267 10.3206  9.7361  9.4517  9.3557
  20  0.231719  3.5723  5.0514 -2.0055 13.5546 11.5200 10.1298  9.5641  9.2851  9.1903
  21  0.248206  3.5751  5.0324 -1.9455 13.3528 11.3391  9.9632  9.4127  9.1383  9.0446
  22  0.264161  3.5776  5.0165 -1.8929 13.1761 11.1805  9.8177  9.2796  9.0092  8.9164
  23  0.279233  3.5797  5.0031 -1.8470 13.0227 11.0428  9.6916  9.1637  8.8967  8.8048
  24  0.291692  3.5813  4.9923 -1.8107 12.9013 10.9337  9.5922  9.0719  8.8077  8.7165
  25  0.301700  3.5826  4.9839 -1.7825 12.8070 10.8489  9.5151  9.0006  8.7385  8.6478
  26  0.309242  3.5835  4.9780 -1.7622 12.7396 10.7882  9.4600  8.9494  8.6887  8.5984
  27  0.314907  3.5842  4.9739 -1.7477 12.6912 10.7447  9.4204  8.9126  8.6530  8.5630
  28  0.319262  3.5847  4.9709 -1.7366 12.6544 10.7115  9.3903  8.8846  8.6258  8.5362
  29  0.322759  3.5851  4.9682 -1.7276 12.6242 10.6844  9.3657  8.8619  8.6037  8.5142
  30  0.325996  3.5855  4.9659 -1.7193 12.5959 10.6590  9.3430  8.8410  8.5834  8.4940
  31  0.329333  3.5859  4.9635 -1.7108 12.5670 10.6332  9.3197  8.8194  8.5626  8.4734
  32  0.332854  3.5864  4.9606 -1.7016 12.5362 10.6056  9.2949  8.7963  8.5402  8.4511
  33  0.337034  3.5868  4.9573 -1.6909 12.5006 10.5735  9.2659  8.7692  8.5139  8.4251
  34  0.342003  3.5874  4.9528 -1.6778 12.4576 10.5347  9.2307  8.7363  8.4818  8.3933
  35  0.348503  3.5881  4.9462 -1.6603 12.4001 10.4824  9.1830  8.6918  8.4386  8.3504
  36  0.376525  3.5926  4.9158 -1.5786 12.1158 10.2300  8.9599  8.4854  8.2391  8.1530
  37  0.409680  3.5999  4.8751 -1.4718 11.7222  9.8852  8.6641  8.2142  7.9793  7.8966
  38  0.423302  3.6035  4.8560 -1.4241 11.5446  9.7291  8.5319  8.0930  7.8637  7.7827
  39  0.434341  3.6068  4.8401 -1.3836 11.3930  9.5952  8.4192  7.9902  7.7656  7.6862
  40  0.445193  3.6105  4.8246 -1.3427 11.2378  9.4577  8.3048  7.8862  7.6670  7.5893
  41  0.456624  3.6148  4.8087 -1.2987 11.0674  9.3067  8.1808  7.7740  7.5610  7.4853
  42  0.468292  3.6198  4.7932 -1.2520 10.8824  9.1424  8.0483  7.6549  7.4493  7.3760
  43  0.479467  3.6253  4.7790 -1.2059 10.6946  8.9749  7.9157  7.5374  7.3400  7.2693
  44  0.489935  3.6309  4.7670 -1.1621 10.5098  8.8094  7.7877  7.4259  7.2373  7.1695
  45  0.499617  3.6364  4.7568 -1.1213 10.3329  8.6525  7.6680  7.3223  7.1427  7.0777
  46  0.508499  3.6418  4.7485 -1.0837 10.1627  8.5040  7.5565  7.2267  7.0559  6.9935
  47  0.516923  3.6475  4.7419 -1.0474  9.9899  8.3583  7.4484  7.1343  6.9724  6.9128
  48  0.525387  3.6535  4.7362 -1.0106  9.8067  8.2092  7.3384  7.0406  6.8878  6.8314
