#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2476 1.6022E-03 8.1552E-04  -1.31   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 6.400 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.113010  3.5268  5.3094 -2.7579 16.2477 14.0159 12.5075 11.4933 11.1033 10.9924
  11  0.126107  3.5317  5.2545 -2.6358 15.8379 13.6299 12.1337 11.1823 10.8051 10.6947
  12  0.143154  3.5377  5.1987 -2.5011 15.3780 13.2007 11.7207 10.8384 10.4760 10.3667
  13  0.167299  3.5461  5.1486 -2.3502 14.8440 12.7055 11.2487 10.4503 10.1078 10.0009
  14  0.193805  3.5543  5.1095 -2.2139 14.3568 12.2581 10.8276 10.1003  9.7757  9.6722
  15  0.215641  3.5597  5.0801 -2.1163 14.0198 11.9485 10.5368  9.8511  9.5377  9.4363
  16  0.234478  3.5635  5.0564 -2.0409 13.7657 11.7149 10.3176  9.6592  9.3535  9.2537
  17  0.251681  3.5665  5.0371 -1.9788 13.5586 11.5241 10.1384  9.5010  9.2013  9.1029
  18  0.268403  3.5691  5.0207 -1.9241 13.3779 11.3568  9.9815  9.3619  9.0675  8.9703
  19  0.283402  3.5713  5.0070 -1.8781 13.2271 11.2172  9.8506  9.2451  8.9550  8.8589
  20  0.295037  3.5729  4.9959 -1.8430 13.1132 11.1114  9.7515  9.1562  8.8693  8.7739
  21  0.303660  3.5740  4.9871 -1.8171 13.0296 11.0334  9.6784  9.0904  8.8059  8.7111
  22  0.310194  3.5749  4.9803 -1.7977 12.9676 10.9754  9.6243  9.0414  8.7585  8.6641
  23  0.315299  3.5755  4.9750 -1.7829 12.9202 10.9313  9.5829  9.0039  8.7222  8.6280
  24  0.319399  3.5760  4.9708 -1.7710 12.8822 10.8959  9.5498  8.9738  8.6931  8.5992
  25  0.323087  3.5765  4.9672 -1.7606 12.8487 10.8645  9.5205  8.9474  8.6676  8.5740
  26  0.326887  3.5770  4.9638 -1.7501 12.8149 10.8330  9.4909  8.9210  8.6422  8.5488
  27  0.331474  3.5776  4.9603 -1.7382 12.7759 10.7966  9.4568  8.8906  8.6131  8.5199
  28  0.335820  3.5779  4.9576 -1.7277 12.7410 10.7668  9.4292  8.8650  8.5879  8.4947
  29  0.361040  3.5829  4.9328 -1.6534 12.4932 10.5289  9.2042  8.6752  8.4097  8.3193
  30  0.378261  3.5862  4.9154 -1.6029 12.3185 10.3686  9.0588  8.5471  8.2881  8.1993
  31  0.416882  3.5940  4.8720 -1.4848 11.8931  9.9905  8.7278  8.2471  8.0013  7.9162
  32  0.431358  3.5979  4.8525 -1.4346 11.7089  9.8246  8.5840  8.1196  7.8809  7.7976
  33  0.443534  3.6017  4.8360 -1.3909 11.5473  9.6779  8.4570  8.0083  7.7763  7.6949
  34  0.456335  3.6061  4.8191 -1.3440 11.3698  9.5174  8.3207  7.8886  7.6642  7.5849
  35  0.470012  3.6114  4.8017 -1.2926 11.1713  9.3384  8.1719  7.7576  7.5418  7.4649
  36  0.483168  3.6172  4.7858 -1.2417 10.9699  9.1566  8.0246  7.6279  7.4211  7.3470
  37  0.494968  3.6228  4.7728 -1.1953 10.7804  8.9851  7.8893  7.5099  7.3122  7.2407
  38  0.505248  3.6283  4.7625 -1.1546 10.6085  8.8302  7.7701  7.4065  7.2173  7.1483
  39  0.514186  3.6333  4.7545 -1.1189 10.4520  8.6909  7.6651  7.3158  7.1346  7.0680
  40  0.522744  3.6384  4.7479 -1.0844 10.2955  8.5538  7.5630  7.2283  7.0551  6.9910
  41  0.531920  3.6443  4.7417 -1.0474 10.1223  8.4050  7.4531  7.1345  6.9703  6.9088
  42  0.542490  3.6512  4.7356 -1.0050  9.9161  8.2327  7.3269  7.0270  6.8731  6.8150
  43  0.554642  3.6594  4.7296 -0.9565  9.6657  8.0343  7.1825  6.9034  6.7615  6.7076
  44  0.568283  3.6687  4.7231 -0.9024  9.3730  7.8160  7.0231  6.7655  6.6367  6.5877
  45  0.582683  3.6784  4.7166 -0.8460  9.0627  7.5948  6.8594  6.6221  6.5063  6.4626
  46  0.597386  3.6882  4.7096 -0.7893  8.7529  7.3816  6.6984  6.4793  6.3758  6.3377
  47  0.612113  3.6976  4.7020 -0.7334  8.4498  7.1797  6.5434  6.3405  6.2486  6.2159
  48  0.626703  3.7067  4.6940 -0.6788  8.1660  6.9900  6.3950  6.2071  6.1262  6.0985
  49  0.640893  3.7152  4.6855 -0.6264  7.9157  6.8153  6.2550  6.0810  6.0099  5.9868
  50  0.654359  3.7230  4.6766 -0.5773  7.6948  6.6570  6.1261  5.9644  5.9023  5.8831
  51  0.666843  3.7299  4.6676 -0.5324  7.4965  6.5157  6.0102  5.8591  5.8046  5.7890
  52  0.672402  3.7330  4.6633 -0.5125  7.4097  6.4541  5.9597  5.8130  5.7618  5.7478
  53  0.677902  3.7359  4.6590 -0.4929  7.3254  6.3940  5.9102  5.7678  5.7198  5.7073
  54  0.683349  3.7387  4.6546 -0.4736  7.2435  6.3353  5.8617  5.7235  5.6785  5.6674
