#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2565 7.1322E-03 3.6304E-03  -0.66   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 9.700 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  11  0.104060  3.5120  5.3209 -2.8642 16.4506 14.5422 13.1357 11.8286 11.3276 11.1866
  12  0.120184  3.5128  5.2508 -2.7282 16.0739 14.1822 12.7813 11.4889 10.9893 10.8473
  13  0.140536  3.5140  5.1787 -2.5837 15.6711 13.7956 12.4009 11.1269 10.6297 10.4869
  14  0.167469  3.5173  5.1170 -2.4326 15.2294 13.3619 11.9771 10.7415 10.2542 10.1123
  15  0.193175  3.5221  5.0784 -2.3127 14.8554 12.9874 11.6144 10.4290  9.9565  9.8172
  16  0.212071  3.5256  5.0528 -2.2328 14.6052 12.7370 11.3719 10.2211  9.7586  9.6214
  17  0.227683  3.5283  5.0329 -2.1713 14.4117 12.5438 11.1851 10.0609  9.6064  9.4708
  18  0.242251  3.5307  5.0160 -2.1174 14.2414 12.3738 11.0209  9.9205  9.4735  9.3393
  19  0.257852  3.5333  4.9997 -2.0640 14.0731 12.2054 10.8587  9.7813  9.3415  9.2090
  20  0.273709  3.5358  4.9845 -2.0132 13.9128 12.0448 10.7041  9.6489  9.2162  9.0852
  21  0.287921  3.5380  4.9713 -1.9690 13.7739 11.9062 10.5705  9.5346  9.1078  8.9783
  22  0.298888  3.5396  4.9608 -1.9355 13.6685 11.8009 10.4690  9.4476  9.0254  8.8970
  23  0.307172  3.5409  4.9528 -1.9105 13.5905 11.7230 10.3938  9.3831  8.9643  8.8367
  24  0.313239  3.5418  4.9468 -1.8925 13.5346 11.6670 10.3397  9.3365  8.9202  8.7932
  25  0.317858  3.5425  4.9425 -1.8790 13.4929 11.6252 10.2993  9.3019  8.8874  8.7608
  26  0.321558  3.5431  4.9387 -1.8679 13.4583 11.5906 10.2660  9.2733  8.8603  8.7341
  27  0.324776  3.5435  4.9354 -1.8583 13.4285 11.5608 10.2372  9.2485  8.8368  8.7109
  28  0.328105  3.5440  4.9325 -1.8489 13.3988 11.5309 10.2085  9.2240  8.8139  8.6883
  29  0.331915  3.5447  4.9295 -1.8384 13.3657 11.4975 10.1764  9.1968  8.7883  8.6631
  30  0.336888  3.5455  4.9255 -1.8249 13.3232 11.4545 10.1351  9.1617  8.7553  8.6306
  31  0.343341  3.5465  4.9206 -1.8078 13.2689 11.3995 10.0824  9.1171  8.7134  8.5896
