#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2496 2.8198E-03 1.4353E-03  -1.07   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 6.600 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.113781  3.5208  5.2969 -2.7661 16.2513 14.1267 12.6631 11.5357 11.1059 10.9868
  11  0.128526  3.5239  5.2359 -2.6401 15.8671 13.7568 12.3022 11.2159 10.7944 10.6754
  12  0.148108  3.5282  5.1749 -2.5007 15.4319 13.3375 11.8942 10.8599 10.4500 10.3313
  13  0.175157  3.5354  5.1246 -2.3482 14.9266 12.8475 11.4204 10.4653 10.0754  9.9590
  14  0.201306  3.5426  5.0890 -2.2238 14.5035 12.4386 11.0274 10.1423  9.7708  9.6577
  15  0.221607  3.5473  5.0632 -2.1370 14.2122 12.1587 10.7585  9.9180  9.5586  9.4479
  16  0.238439  3.5510  5.0433 -2.0710 13.9929 11.9484 10.5567  9.7480  9.3974  9.2886
  17  0.254220  3.5539  5.0262 -2.0142 13.8064 11.7696 10.3850  9.6022  9.2588  9.1516
  18  0.270806  3.5566  5.0106 -1.9601 13.6302 11.6002 10.2224  9.4633  9.1267  9.0210
  19  0.285675  3.5589  4.9970 -1.9140 13.4813 11.4571 10.0850  9.3453  9.0143  8.9100
  20  0.297281  3.5607  4.9857 -1.8783 13.3669 11.3469  9.9793  9.2540  8.9274  8.8240
  21  0.305619  3.5620  4.9769 -1.8525 13.2855 11.2682  9.9036  9.1884  8.8647  8.7620
  22  0.311884  3.5628  4.9703 -1.8335 13.2256 11.2101  9.8478  9.1398  8.8182  8.7161
  23  0.316747  3.5635  4.9650 -1.8188 13.1795 11.1658  9.8051  9.1024  8.7825  8.6806
  24  0.320724  3.5641  4.9606 -1.8068 13.1419 11.1295  9.7703  9.0720  8.7533  8.6518
  25  0.324476  3.5647  4.9570 -1.7958 13.1074 11.0961  9.7382  9.0442  8.7269  8.6256
  26  0.328612  3.5653  4.9533 -1.7842 13.0704 11.0603  9.7039  9.0147  8.6988  8.5979
  27  0.333766  3.5660  4.9491 -1.7703 13.0257 11.0171  9.6624  8.9791  8.6650  8.5644
  28  0.339240  3.5668  4.9456 -1.7565 12.9809 10.9751  9.6221  8.9442  8.6318  8.5315
  29  0.381085  3.5753  4.9034 -1.6307 12.5637 10.5703  9.2363  8.6230  8.3315  8.2360
  30  0.406033  3.5812  4.8756 -1.5518 12.2971 10.3130  8.9938  8.4214  8.1441  8.0517
  31  0.425256  3.5858  4.8529 -1.4897 12.0783 10.1100  8.8096  8.2632  7.9958  7.9058
