#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2456 3.3767E-04 1.7188E-04  -2.02   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE=12.200 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  13  0.110275  3.5409  5.3396 -2.7420 16.1672 13.7451 12.1757 11.4004 11.0799 10.9810
  14  0.121401  3.5482  5.2901 -2.6216 15.7145 13.3489 11.8089 11.1001 10.7907 10.6920
  15  0.134196  3.5558  5.2415 -2.4995 15.2540 12.9498 11.4435 10.7939 10.4956 10.3979
  16  0.148173  3.5628  5.1999 -2.3865 14.8264 12.5821 11.1117 10.5094 10.2214 10.1253
  17  0.162083  3.5689  5.1683 -2.2916 14.4648 12.2740 10.8375 10.2698  9.9904  9.8962
  18  0.174905  3.5738  5.1436 -2.2142 14.1702 12.0238 10.6170 10.0740  9.8017  9.7091
  19  0.187011  3.5779  5.1226 -2.1479 13.9197 11.8115 10.4308  9.9062  9.6396  9.5484
  20  0.199038  3.5814  5.1030 -2.0872 13.6938 11.6201 10.2629  9.7530  9.4913  9.4014
  21  0.212001  3.5847  5.0838 -2.0274 13.4741 11.4336 10.0994  9.6022  9.3450  9.2564
  22  0.226527  3.5879  5.0647 -1.9666 13.2519 11.2453  9.9343  9.4489  9.1962  9.1088
  23  0.242660  3.5912  5.0461 -1.9051 13.0280 11.0560  9.7688  9.2944  9.0460  8.9598
  24  0.261539  3.5946  5.0273 -1.8400 12.7885 10.8556  9.5945  9.1309  8.8873  8.8023
  25  0.282843  3.5981  5.0091 -1.7738 12.5443 10.6517  9.4177  8.9645  8.7256  8.6420
  26  0.299120  3.6005  4.9967 -1.7273 12.3731 10.5088  9.2940  8.8478  8.6122  8.5297
  27  0.308971  3.6019  4.9901 -1.7012 12.2771 10.4285  9.2245  8.7821  8.5484  8.4663
  28  0.315590  3.6028  4.9862 -1.6846 12.2164 10.3775  9.1803  8.7403  8.5077  8.4261
  29  0.320253  3.6035  4.9835 -1.6730 12.1738 10.3417  9.1494  8.7111  8.4795  8.3981
  30  0.324015  3.6040  4.9821 -1.6642 12.1407 10.3141  9.1259  8.6890  8.4581  8.3769
  31  0.327505  3.6045  4.9801 -1.6556 12.1085 10.2871  9.1027  8.6672  8.4369  8.3560
  32  0.330865  3.6050  4.9776 -1.6467 12.0758 10.2596  9.0790  8.6448  8.4153  8.3346
  33  0.335622  3.6056  4.9750 -1.6353 12.0333 10.2239  9.0484  8.6160  8.3874  8.3070
  34  0.340036  3.6063  4.9714 -1.6235 11.9906 10.1877  9.0169  8.5862  8.3584  8.2783
  35  0.345972  3.6071  4.9668 -1.6078 11.9337 10.1395  8.9753  8.5466  8.3201  8.2405
  36  0.352555  3.6081  4.9604 -1.5894 11.8673 10.0830  8.9262  8.5001  8.2750  8.1959
  37  0.363324  3.6099  4.9497 -1.5585 11.7535  9.9868  8.8435  8.4221  8.1994  8.1212
  38  0.380525  3.6134  4.9319 -1.5065 11.5540  9.8197  8.7026  8.2902  8.0724  7.9960
  39  0.400680  3.6185  4.9093 -1.4415 11.3001  9.6063  8.5249  8.1251  7.9145  7.8406
  40  0.420513  3.6240  4.8846 -1.3734 11.0339  9.3800  8.3370  7.9515  7.7491  7.6781
  41  0.439110  3.6303  4.8605 -1.3056 10.7667  9.1511  8.1485  7.7789  7.5856  7.5180
  42  0.453185  3.6356  4.8426 -1.2528 10.5513  8.9678  7.9997  7.6439  7.4588  7.3940
  43  0.464671  3.6405  4.8283 -1.2078 10.3606  8.8083  7.8722  7.5294  7.3521  7.2899
  44  0.474444  3.6451  4.8164 -1.1682 10.1863  8.6657  7.7593  7.4285  7.2582  7.1986
  45  0.483225  3.6497  4.8059 -1.1318 10.0216  8.5338  7.6553  7.3358  7.1722  7.1151
  46  0.491534  3.6542  4.7965 -1.0969  9.8611  8.4073  7.5560  7.2475  7.0906  7.0359
  47  0.499561  3.6586  4.7878 -1.0632  9.7036  8.2847  7.4600  7.1623  7.0120  6.9598
  48  0.507154  3.6631  4.7800 -1.0311  9.5509  8.1677  7.3687  7.0814  6.9376  6.8878
  49  0.514369  3.6675  4.7729 -1.0003  9.4009  8.0549  7.2808  7.0037  6.8663  6.8191
  50  0.521381  3.6720  4.7665 -0.9698  9.2508  7.9439  7.1944  6.9274  6.7964  6.7516
  51  0.528546  3.6768  4.7601 -0.9384  9.0959  7.8312  7.1061  6.8488  6.7244  6.6823
  52  0.532662  3.6796  4.7565 -0.9204  9.0068  7.7669  7.0556  6.8038  6.6831  6.6424
  53  0.536854  3.6824  4.7528 -0.9019  8.9163  7.7023  7.0044  6.7581  6.6411  6.6020
  54  0.541141  3.6853  4.7490 -0.8831  8.8241  7.6366  6.9522  6.7115  6.5982  6.5607
