#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2464 8.3142E-04 4.2320E-04  -1.60   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE=11.500 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  12  0.103994  3.5292  5.3585 -2.8335 16.5223 14.1699 12.6087 11.6628 11.3010 11.1965
  13  0.115066  3.5358  5.3073 -2.7118 16.0847 13.7630 12.2179 11.3536 11.0077 10.9038
  14  0.127742  3.5428  5.2552 -2.5865 15.6275 13.3471 11.8220 11.0353 10.7048 10.6020
  15  0.142940  3.5501  5.2054 -2.4585 15.1570 12.9252 11.4246 10.7099 10.3946 10.2933
  16  0.160064  3.5572  5.1652 -2.3407 14.7202 12.5379 11.0643 10.4101 10.1082 10.0091
  17  0.176879  3.5632  5.1343 -2.2423 14.3572 12.2172 10.7695 10.1593  9.8684  9.7712
  18  0.192266  3.5679  5.1089 -2.1623 14.0692 11.9626 10.5364  9.9560  9.6730  9.5775
  19  0.207373  3.5715  5.0857 -2.0914 13.8208 11.7427 10.3354  9.7766  9.4998  9.4056
  20  0.223569  3.5749  5.0634 -2.0233 13.5861 11.5346 10.1452  9.6045  9.3330  9.2400
  21  0.239926  3.5779  5.0436 -1.9611 13.3729 11.3459  9.9732  9.4474  9.1805  9.0886
  22  0.255708  3.5805  5.0268 -1.9061 13.1851 11.1801  9.8229  9.3090  9.0461  8.9551
  23  0.271257  3.5828  5.0122 -1.8566 13.0153 11.0306  9.6879  9.1841  8.9247  8.8346
  24  0.285667  3.5849  4.9996 -1.8132 12.8644 10.8990  9.5702  9.0745  8.8182  8.7289
  25  0.297757  3.5865  4.9895 -1.7785 12.7438 10.7939  9.4767  8.9871  8.7332  8.6446
  26  0.306769  3.5876  4.9824 -1.7538 12.6586 10.7195  9.4103  8.9251  8.6728  8.5846
  27  0.313286  3.5884  4.9778 -1.7370 12.6009 10.6689  9.3651  8.8826  8.6316  8.5437
  28  0.318122  3.5890  4.9746 -1.7248 12.5592 10.6323  9.3324  8.8520  8.6018  8.5142
  29  0.321855  3.5894  4.9720 -1.7153 12.5266 10.6037  9.3069  8.8282  8.5786  8.4911
  30  0.325161  3.5898  4.9701 -1.7072 12.4979 10.5786  9.2848  8.8075  8.5586  8.4714
  31  0.328429  3.5902  4.9678 -1.6990 12.4691 10.5534  9.2626  8.7867  8.5384  8.4513
  32  0.331682  3.5907  4.9652 -1.6905 12.4397 10.5276  9.2397  8.7653  8.5176  8.4307
  33  0.335739  3.5912  4.9623 -1.6803 12.4044 10.4967  9.2124  8.7396  8.4925  8.4059
  34  0.339957  3.5916  4.9584 -1.6691 12.3668 10.4636  9.1828  8.7115  8.4652  8.3787
  35  0.343201  3.5917  4.9557 -1.6617 12.3420 10.4438  9.1664  8.6931  8.4463  8.3598
  36  0.357663  3.5934  4.9411 -1.6222 12.2089 10.3259  9.0614  8.5937  8.3494  8.2637
