#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2468 1.1135E-03 5.6676E-04  -1.49   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 6.700 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.108876  3.5295  5.3341 -2.7877 16.3578 14.0517 12.5096 11.5550 11.1869 11.0803
  11  0.120382  3.5356  5.2832 -2.6688 15.9348 13.6588 12.1310 11.2523 10.8995 10.7938
  12  0.134545  3.5424  5.2307 -2.5411 15.4742 13.2385 11.7296 10.9270 10.5898 10.4852
  13  0.154337  3.5506  5.1788 -2.3968 14.9471 12.7638 11.2814 10.5591 10.2396 10.1372
  14  0.179922  3.5598  5.1353 -2.2501 14.4045 12.2801 10.8321 10.1842  9.8827  9.7834
  15  0.203031  3.5661  5.1019 -2.1385 14.0064 11.9251 10.5044  9.9005  9.6107  9.5136
  16  0.223193  3.5704  5.0746 -2.0530 13.7127 11.6620 10.2615  9.6838  9.4015  9.3060
  17  0.241411  3.5736  5.0525 -1.9836 13.4780 11.4515 10.0674  9.5083  9.2315  9.1372
  18  0.257914  3.5763  5.0345 -1.9264 13.2855 11.2789  9.9088  9.3637  9.0913  8.9981
  19  0.273685  3.5786  5.0195 -1.8765 13.1184 11.1291  9.7712  9.2377  8.9691  8.8768
  20  0.287105  3.5804  5.0071 -1.8360 12.9834 11.0078  9.6603  9.1355  8.8697  8.7782
  21  0.297676  3.5818  4.9970 -1.8046 12.8789 10.9136  9.5745  9.0561  8.7927  8.7018
  22  0.305695  3.5828  4.9890 -1.7811 12.8010 10.8436  9.5106  8.9968  8.7350  8.6444
  23  0.311823  3.5835  4.9832 -1.7637 12.7439 10.7919  9.4635  8.9529  8.6922  8.6020
  24  0.316553  3.5840  4.9786 -1.7505 12.7005 10.7527  9.4276  8.9195  8.6597  8.5697
  25  0.320441  3.5845  4.9749 -1.7397 12.6654 10.7209  9.3986  8.8924  8.6333  8.5435
  26  0.323908  3.5849  4.9717 -1.7303 12.6343 10.6929  9.3731  8.8686  8.6101  8.5206
