#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2518 4.1831E-03 2.1293E-03  -0.90   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE=11.300 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  12  0.109414  3.5167  5.3078 -2.8108 16.3496 14.3136 12.8781 11.6667 11.2057 11.0784
  13  0.125117  3.5186  5.2406 -2.6778 15.9659 13.9431 12.5151 11.3313 10.8752 10.7474
  14  0.144657  3.5211  5.1747 -2.5387 15.5588 13.5481 12.1284 10.9787 10.5296 10.4017
  15  0.167338  3.5255  5.1243 -2.4074 15.1535 13.1493 11.7401 10.6408 10.2045 10.0778
  16  0.187843  3.5304  5.0922 -2.3051 14.8211 12.8198 11.4204 10.3742  9.9524  9.8278
  17  0.204162  3.5343  5.0688 -2.2305 14.5782 12.5792 11.1872 10.1801  9.7689  9.6464
  18  0.218176  3.5373  5.0497 -2.1704 14.3833 12.3871 11.0010 10.0242  9.6215  9.5005
  19  0.231288  3.5400  5.0333 -2.1178 14.2115 12.2180 10.8372  9.8873  9.4922  9.3728
  20  0.244459  3.5427  5.0182 -2.0683 14.0510 12.0600 10.6844  9.7591  9.3711  9.2532
  21  0.258140  3.5451  5.0038 -2.0204 13.8963 11.9078 10.5372  9.6352  9.2539  9.1374
  22  0.273521  3.5477  4.9893 -1.9704 13.7354 11.7497 10.3844  9.5059  9.1316  9.0167
  23  0.287957  3.5500  4.9763 -1.9257 13.5929 11.6097 10.2489  9.3908  9.0225  8.9090
  24  0.299853  3.5519  4.9656 -1.8898 13.4791 11.4980 10.1409  9.2989  8.9354  8.8231
  25  0.308331  3.5532  4.9580 -1.8648 13.4002 11.4202 10.0655  9.2348  8.8747  8.7632
  26  0.314570  3.5541  4.9525 -1.8469 13.3437 11.3644 10.0116  9.1889  8.8312  8.7202
  27  0.319194  3.5548  4.9484 -1.8336 13.3019 11.3233  9.9717  9.1547  8.7989  8.6884
  28  0.322939  3.5554  4.9450 -1.8229 13.2680 11.2897  9.9393  9.1272  8.7730  8.6627
  29  0.326239  3.5559  4.9420 -1.8134 13.2376 11.2598  9.9103  9.1027  8.7498  8.6399
  30  0.329712  3.5565  4.9389 -1.8033 13.2058 11.2284  9.8800  9.0770  8.7255  8.6160
  31  0.333635  3.5572  4.9356 -1.7923 13.1706 11.1936  9.8465  9.0487  8.6989  8.5898
  32  0.338649  3.5580  4.9314 -1.7785 13.1265 11.1500  9.8045  9.0132  8.6655  8.5568
  33  0.349844  3.5600  4.9214 -1.7467 13.0246 11.0470  9.7058  8.9307  8.5887  8.4813
  34  0.373109  3.5648  4.8988 -1.6776 12.8009 10.8222  9.4902  8.7525  8.4229  8.3189
  35  0.415626  3.5748  4.8508 -1.5416 12.3471 10.3783  9.0672  8.4049  8.1003  8.0019
  36  0.429417  3.5787  4.8335 -1.4943 12.1866 10.2197  8.9169  8.2837  7.9891  7.8930
  37  0.438919  3.5817  4.8210 -1.4604 12.0709 10.1043  8.8075  8.1967  7.9100  7.8156
  38  0.448937  3.5850  4.8078 -1.4244 11.9459  9.9816  8.6929  8.1046  7.8259  7.7333
  39  0.460198  3.5888  4.7932 -1.3836 11.8019  9.8413  8.5637  8.0002  7.7309  7.6404
  40  0.472000  3.5932  4.7780 -1.3399 11.6444  9.6887  8.4252  7.8881  7.6290  7.5409
  41  0.483972  3.5979  4.7626 -1.2946 11.4788  9.5287  8.2827  7.7722  7.5238  7.4382
  42  0.495524  3.6029  4.7485 -1.2506 11.3153  9.3708  8.1453  7.6593  7.4213  7.3383
  43  0.506292  3.6077  4.7361 -1.2095 11.1609  9.2216  8.0177  7.5543  7.3259  7.2453
  44  0.516224  3.6124  4.7253 -1.1713 11.0159  9.0809  7.8994  7.4568  7.2377  7.1592
  45  0.525655  3.6172  4.7154 -1.1345 10.8739  8.9431  7.7855  7.3629  7.1528  7.0767
  46  0.535105  3.6223  4.7062 -1.0972 10.7278  8.8002  7.6696  7.2676  7.0672  6.9932
  47  0.544938  3.6279  4.6973 -1.0580 10.5709  8.6467  7.5476  7.1677  6.9775  6.9061
  48  0.555439  3.6342  4.6886 -1.0160 10.3955  8.4788  7.4172  7.0605  6.8815  6.8129
  49  0.566418  3.6411  4.6807 -0.9718 10.1973  8.2974  7.2797  6.9476  6.7805  6.7151
  50  0.577339  3.6486  4.6742 -0.9273  9.9763  8.1094  7.1410  6.8334  6.6785  6.6168
  51  0.588053  3.6562  4.6687 -0.8834  9.7421  7.9217  7.0051  6.7206  6.5773  6.5195
  52  0.593396  3.6600  4.6660 -0.8615  9.6206  7.8286  6.9381  6.6640  6.5263  6.4706
  53  0.598711  3.6638  4.6633 -0.8398  9.4985  7.7374  6.8723  6.6079  6.4754  6.4218
