#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2473 1.4077E-03 7.1655E-04  -1.37   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 8.900 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  11  0.107032  3.5257  5.3380 -2.8143 16.4414 14.1763 12.6518 11.6320 11.2444 11.1347
  12  0.119137  3.5312  5.2837 -2.6919 16.0242 13.7823 12.2701 11.3202 10.9469 10.8380
  13  0.133712  3.5370  5.2285 -2.5630 15.5776 13.3676 11.8710 10.9916 10.6329 10.5249
  14  0.152471  3.5442  5.1768 -2.4258 15.0927 12.9214 11.4453 10.6411 10.2990 10.1926
  15  0.174336  3.5520  5.1364 -2.2959 14.6215 12.4919 11.0406 10.3076  9.9825  9.8789
  16  0.194232  3.5580  5.1056 -2.1940 14.2579 12.1617 10.7319 10.0466  9.7340  9.6326
  17  0.211435  3.5623  5.0805 -2.1150 13.9853 11.9135 10.5001  9.8456  9.5412  9.4415
  18  0.228238  3.5657  5.0580 -2.0456 13.7502 11.6994 10.3000  9.6691  9.3713  9.2730
  19  0.244328  3.5685  5.0387 -1.9851 13.5477 11.5147 10.1278  9.5155  9.2231  9.1260
  20  0.260174  3.5712  5.0222 -1.9309 13.3679 11.3501  9.9743  9.3784  9.0908  8.9947
  21  0.275890  3.5734  5.0077 -1.8819 13.2059 11.2016  9.8361  9.2540  8.9707  8.8758
  22  0.289164  3.5752  4.9958 -1.8423 13.0762 11.0822  9.7249  9.1537  8.8739  8.7797
  23  0.299407  3.5766  4.9865 -1.8124 12.9784 10.9919  9.6412  9.0778  8.8005  8.7071
  24  0.307219  3.5776  4.9792 -1.7901 12.9058 10.9249  9.5790  9.0212  8.7460  8.6529
  25  0.313254  3.5783  4.9740 -1.7735 12.8522 10.8753  9.5330  8.9794  8.7053  8.6126
  26  0.317885  3.5788  4.9701 -1.7609 12.8113 10.8377  9.4981  8.9475  8.6746  8.5822
  27  0.321721  3.5793  4.9669 -1.7506 12.7778 10.8068  9.4696  8.9215  8.6495  8.5573
  28  0.325307  3.5798  4.9641 -1.7413 12.7468 10.7783  9.4432  8.8976  8.6264  8.5344
  29  0.328956  3.5802  4.9612 -1.7317 12.7153 10.7492  9.4164  8.8734  8.6030  8.5112
  30  0.333317  3.5808  4.9580 -1.7205 12.6783 10.7151  9.3850  8.8451  8.5759  8.4843
  31  0.336254  3.5810  4.9563 -1.7138 12.6557 10.6971  9.3690  8.8290  8.5596  8.4680
  32  0.352076  3.5838  4.9409 -1.6680 12.5039 10.5525  9.2325  8.7123  8.4494  8.3592
  33  0.367342  3.5866  4.9249 -1.6230 12.3514 10.4109  9.1025  8.5980  8.3410  8.2522
  34  0.407814  3.5945  4.8788 -1.4990 11.9064 10.0166  8.7578  8.2835  8.0394  7.9543
  35  0.424940  3.5988  4.8561 -1.4408 11.6912  9.8254  8.5936  8.1355  7.8986  7.8157
  36  0.436562  3.6024  4.8397 -1.3988 11.5359  9.6858  8.4737  8.0286  7.7976  7.7164
  37  0.448028  3.6063  4.8236 -1.3563 11.3762  9.5421  8.3518  7.9204  7.6957  7.6162
  38  0.460495  3.6108  4.8070 -1.3091 11.1952  9.3797  8.2163  7.8001  7.5828  7.5055
  39  0.473110  3.6162  4.7907 -1.2597 11.0015  9.2058  8.0747  7.6743  7.4651  7.3905
  40  0.485036  3.6219  4.7763 -1.2118 10.8084  9.0322  7.9365  7.5525  7.3520  7.2799
  41  0.495909  3.6274  4.7643 -1.1677 10.6238  8.8659  7.8075  7.4401  7.2486  7.1792
  42  0.505679  3.6328  4.7545 -1.1278 10.4519  8.7123  7.6906  7.3388  7.1560  7.0891
  43  0.514588  3.6382  4.7468 -1.0911 10.2871  8.5670  7.5819  7.2455  7.0712  7.0069
  44  0.523250  3.6438  4.7403 -1.0550 10.1179  8.4217  7.4744  7.1538  6.9881  6.9266
  45  0.532337  3.6500  4.7344 -1.0169  9.9328  8.2673  7.3609  7.0570  6.9007  6.8422
  46  0.542245  3.6569  4.7288 -0.9754  9.7227  8.0983  7.2374  6.9516  6.8056  6.7506
  47  0.553087  3.6646  4.7231 -0.9303  9.4827  7.9158  7.1040  6.8366  6.7017  6.6506
  48  0.564642  3.6728  4.7168 -0.8824  9.2235  7.7270  6.9647  6.7151  6.5913  6.5448
  49  0.576320  3.6809  4.7105 -0.8346  8.9625  7.5431  6.8270  6.5936  6.4806  6.4387
  50  0.587918  3.6889  4.7038 -0.7875  8.7093  7.3689  6.6939  6.4752  6.3723  6.3348
  51  0.599265  3.6965  4.6968 -0.7417  8.4672  7.2056  6.5673  6.3617  6.2682  6.2350
  52  0.604595  3.7000  4.6934 -0.7204  8.3560  7.1310  6.5090  6.3093  6.2200  6.1888
  53  0.609910  3.7035  4.6898 -0.6992  8.2478  7.0582  6.4515  6.2575  6.1723  6.1431
  54  0.615198  3.7069  4.6862 -0.6781  8.1427  6.9869  6.3949  6.2065  6.1253  6.0980
  55  0.620452  3.7102  4.6824 -0.6574  8.0409  6.9173  6.3391  6.1560  6.0789  6.0533
  56  0.625664  3.7135  4.6785 -0.6367  7.9441  6.8493  6.2842  6.1065  6.0331  6.0093
  57  0.630824  3.7168  4.6746 -0.6163  7.8507  6.7831  6.2304  6.0577  5.9881  5.9661
  58  0.635926  3.7199  4.6706 -0.5962  7.7603  6.7186  6.1777  6.0100  5.9439  5.9234
  59  0.640969  3.7230  4.6664 -0.5763  7.6725  6.6556  6.1260  5.9632  5.9004  5.8815
  60  0.645952  3.7260  4.6622 -0.5567  7.5871  6.5941  6.0756  5.9172  5.8578  5.8405
  61  0.650869  3.7288  4.6577 -0.5374  7.5037  6.5342  6.0262  5.8721  5.8159  5.8001
  62  0.655721  3.7317  4.6533 -0.5184  7.4222  6.4758  5.9779  5.8281  5.7749  5.7605
  63  0.660505  3.7344  4.6486 -0.4998  7.3430  6.4188  5.9306  5.7849  5.7346  5.7216
  64  0.665225  3.7370  4.6439 -0.4814  7.2661  6.3629  5.8844  5.7425  5.6952  5.6834
  65  0.669881  3.7396  4.6390 -0.4633  7.1916  6.3085  5.8391  5.7008  5.6562  5.6458
  66  0.674481  3.7421  4.6341 -0.4454  7.1193  6.2552  5.7945  5.6600  5.6179  5.6087
  67  0.679015  3.7445  4.6290 -0.4277  7.0493  6.2030  5.7509  5.6197  5.5802  5.5721
  68  0.683496  3.7468  4.6238 -0.4104  6.9811  6.1518  5.7078  5.5801  5.5430  5.5360
  69  0.687920  3.7492  4.6185 -0.3931  6.9148  6.1015  5.6655  5.5411  5.5062  5.5004
  70  0.692284  3.7513  4.6131 -0.3761  6.8502  6.0522  5.6239  5.5025  5.4699  5.4651
  71  0.696595  3.7535  4.6076 -0.3592  6.7873  6.0037  5.5826  5.4645  5.4340  5.4302
  72  0.700842  3.7556  4.6019 -0.3426  6.7259  5.9560  5.5421  5.4269  5.3985  5.3956
  73  0.705026  3.7576  4.5962 -0.3261  6.6659  5.9093  5.5022  5.3898  5.3634  5.3615
  74  0.709147  3.7596  4.5904 -0.3099  6.6077  5.8633  5.4628  5.3532  5.3286  5.3277
  75  0.713199  3.7615  4.5844 -0.2938  6.5509  5.8181  5.4239  5.3170  5.2943  5.2942
  76  0.717176  3.7633  4.5783 -0.2781  6.4956  5.7739  5.3856  5.2814  5.2604  5.2611
  77  0.721084  3.7650  4.5721 -0.2625  6.4416  5.7303  5.3479  5.2460  5.2268  5.2283
  78  0.724920  3.7667  4.5658 -0.2471  6.3889  5.6875  5.3108  5.2114  5.1938  5.1960
  79  0.728688  3.7684  4.5596 -0.2320  6.3373  5.6454  5.2743  5.1773  5.1612  5.1641
  80  0.732391  3.7700  4.5534 -0.2171  6.2869  5.6042  5.2384  5.1437  5.1290  5.1327
  81  0.736027  3.7716  4.5472 -0.2024  6.2376  5.5636  5.2031  5.1106  5.0974  5.1018
  82  0.740756  3.7736  4.5389 -0.1832  6.1739  5.5108  5.1571  5.0674  5.0562  5.0614
  83  0.745439  3.7757  4.5307 -0.1642  6.1111  5.4587  5.1116  5.0248  5.0153  5.0214
  84  0.750085  3.7776  4.5224 -0.1453  6.0491  5.4069  5.0664  4.9824  4.9747  4.9816
  85  0.754700  3.7796  4.5142 -0.1265  5.9880  5.3557  5.0215  4.9403  4.9343  4.9420
  86  0.759286  3.7815  4.5059 -0.1078  5.9276  5.3048  4.9767  4.8983  4.8940  4.9026
  87  0.763849  3.7835  4.4978 -0.0893  5.8679  5.2541  4.9324  4.8567  4.8541  4.8634
  88  0.768382  3.7855  4.4894 -0.0707  5.8088  5.2038  4.8883  4.8153  4.8143  4.8243
  89  0.772873  3.7873  4.4812 -0.0523  5.7504  5.1537  4.8444  4.7740  4.7747  4.7856
  90  0.777313  3.7892  4.4728 -0.0340  5.6927  5.1039  4.8007  4.7330  4.7353  4.7469
  91  0.781690  3.7910  4.4643 -0.0157  5.6355  5.0543  4.7573  4.6924  4.6962  4.7086
  92  0.785992  3.7928  4.4557  0.0024  5.5792  5.0053  4.7142  4.6520  4.6573  4.6703
  93  0.790208  3.7945  4.4469  0.0203  5.5237  4.9566  4.6714  4.6118  4.6187  4.6323
  94  0.794327  3.7962  4.4379  0.0381  5.4691  4.9085  4.6288  4.5718  4.5801  4.5944
  95  0.798343  3.7978  4.4287  0.0558  5.4155  4.8609  4.5867  4.5320  4.5417  4.5566
  96  0.802246  3.7992  4.4195  0.0733  5.3628  4.8137  4.5447  4.4925  4.5034  4.5189
  97  0.806035  3.8007  4.4100  0.0906  5.3111  4.7673  4.5031  4.4532  4.4653  4.4814
  98  0.809707  3.8021  4.4005  0.1078  5.2605  4.7214  4.4620  4.4141  4.4275  4.4440
  99  0.813270  3.8035  4.3908  0.1247  5.2107  4.6763  4.4212  4.3754  4.3898  4.4068
 100  0.816729  3.8048  4.3810  0.1414  5.1619  4.6316  4.3807  4.3369  4.3523  4.3698
 101  0.820088  3.8060  4.3711  0.1580  5.1138  4.5875  4.3407  4.2988  4.3150  4.3330
 102  0.823359  3.8072  4.3612  0.1744  5.0664  4.5440  4.3010  4.2608  4.2780  4.2965
 103  0.826544  3.8083  4.3511  0.1907  5.0198  4.5010  4.2616  4.2233  4.2413  4.2602
 104  0.829647  3.8094  4.3410  0.2067  4.9739  4.4585  4.2227  4.1860  4.2048  4.2241
 105  0.832677  3.8104  4.3307  0.2226  4.9287  4.4166  4.1842  4.1490  4.1686  4.1882
 106  0.835643  3.8114  4.3203  0.2383  4.8842  4.3751  4.1460  4.1124  4.1326  4.1526
 107  0.838553  3.8122  4.3100  0.2538  4.8404  4.3342  4.1081  4.0759  4.0967  4.1172
 108  0.841419  3.8131  4.2994  0.2693  4.7974  4.2937  4.0707  4.0397  4.0611  4.0818
 109  0.844237  3.8138  4.2888  0.2845  4.7549  4.2537  4.0334  4.0038  4.0257  4.0467
 110  0.846998  3.8146  4.2779  0.2996  4.7132  4.2143  3.9965  3.9681  3.9904  4.0118
 111  0.849639  3.8153  4.2675  0.3145  4.6719  4.1753  3.9602  3.9329  3.9558  3.9775
 112  0.850605  3.8156  4.2636  0.3200  4.6563  4.1606  3.9465  3.9198  3.9429  3.9646
