#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2453 1.6842E-04 8.5727E-05  -2.37   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 6.200 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.108447  3.5469  5.3609 -2.7468 16.1249 13.6445 12.0811 11.3775 11.0742 10.9780
  11  0.118046  3.5552  5.3178 -2.6334 15.6563 13.2651 11.7418 11.1017 10.8081 10.7118
  12  0.129405  3.5641  5.2731 -2.5134 15.1598 12.8665 11.3924 10.8069 10.5234 10.4281
  13  0.144270  3.5736  5.2272 -2.3823 14.6228 12.4319 11.0193 10.4808 10.2090 10.1158
  14  0.163249  3.5828  5.1856 -2.2508 14.0836 12.0022 10.6555 10.1527  9.8921  9.8015
  15  0.182649  3.5899  5.1526 -2.1405 13.6393 11.6483 10.3565  9.8769  9.6250  9.5371
  16  0.199256  3.5949  5.1269 -2.0570 13.3149 11.3856 10.1327  9.6677  9.4222  9.3362
  17  0.214324  3.5987  5.1050 -1.9878 13.0535 11.1713  9.9485  9.4943  9.2539  9.1696
  18  0.229436  3.6022  5.0851 -1.9246 12.8194 10.9773  9.7808  9.3355  9.0996  9.0169
  19  0.245546  3.6055  5.0661 -1.8631 12.5945 10.7894  9.6176  9.1808  8.9491  8.8680
  20  0.264196  3.6089  5.0462 -1.7976 12.3583 10.5906  9.4444  9.0162  8.7893  8.7097
  21  0.284501  3.6123  5.0266 -1.7322 12.1252 10.3923  9.2710  8.8511  8.6289  8.5511
  22  0.299714  3.6146  5.0149 -1.6883 11.9692 10.2591  9.1544  8.7403  8.5214  8.4448
  23  0.308943  3.6160  5.0090 -1.6638 11.8824 10.1848  9.0894  8.6785  8.4615  8.3857
  24  0.315278  3.6168  5.0050 -1.6476 11.8250 10.1355  9.0461  8.6374  8.4217  8.3463
  25  0.319871  3.6175  5.0018 -1.6355 11.7825 10.0990  9.0142  8.6069  8.3919  8.3170
  26  0.323562  3.6180  4.9988 -1.6255 11.7476 10.0689  8.9876  8.5816  8.3674  8.2927
  27  0.327190  3.6185  4.9958 -1.6157 11.7133 10.0394  8.9617  8.5569  8.3435  8.2690
  28  0.331705  3.6191  4.9927 -1.6042 11.6725 10.0043  8.9309  8.5277  8.3152  8.2411
  29  0.338164  3.6199  4.9888 -1.5883 11.6165  9.9563  8.8888  8.4876  8.2764  8.2027
  30  0.348372  3.6214  4.9826 -1.5636 11.5279  9.8805  8.8228  8.4251  8.2159  8.1431
  31  0.368097  3.6246  4.9680 -1.5124 11.3397  9.7207  8.6850  8.2953  8.0908  8.0197
  32  0.391834  3.6292  4.9478 -1.4468 11.0924  9.5116  8.5067  8.1284  7.9306  7.8621
  33  0.413734  3.6344  4.9263 -1.3814 10.8406  9.2995  8.3274  7.9616  7.7714  7.7058
  34  0.438203  3.6410  4.9001 -1.3035 10.5344  9.0452  8.1135  7.7636  7.5832  7.5213
  35  0.459659  3.6478  4.8763 -1.2314 10.2389  8.8049  7.9137  7.5799  7.4096  7.3518
  36  0.476157  3.6540  4.8576 -1.1724  9.9876  8.6053  7.7495  7.4301  7.2690  7.2147
  37  0.490006  3.6599  4.8423 -1.1212  9.7634  8.4305  7.6068  7.3007  7.1479  7.0970
  38  0.501513  3.6651  4.8302 -1.0784  9.5723  8.2837  7.4876  7.1929  7.0475  6.9995
  39  0.510651  3.6694  4.8213 -1.0439  9.4160  8.1648  7.3918  7.1068  6.9676  6.9220
  40  0.518320  3.6734  4.8140 -1.0145  9.2797  8.0623  7.3097  7.0335  6.8999  6.8564
  41  0.525652  3.6773  4.8073 -0.9859  9.1465  7.9631  7.2304  6.9627  6.8347  6.7934
  42  0.533567  3.6817  4.8005 -0.9551  9.0021  7.8567  7.1455  6.8868  6.7647  6.7260
  43  0.543047  3.6870  4.7926 -0.9186  8.8322  7.7319  7.0456  6.7974  6.6822  6.6463
  44  0.554693  3.6935  4.7831 -0.8739  8.6283  7.5815  6.9245  6.6892  6.5823  6.5500
  45  0.567935  3.7010  4.7727 -0.8229  8.3976  7.4113  6.7879  6.5674  6.4702  6.4419
  46  0.581852  3.7091  4.7619 -0.7693  8.1595  7.2349  6.6465  6.4413  6.3543  6.3303
  47  0.595804  3.7171  4.7508 -0.7160  7.9319  7.0645  6.5085  6.3178  6.2404  6.2204
  48  0.609412  3.7247  4.7396 -0.6647  7.7220  6.9046  6.3779  6.1999  6.1311  6.1149
  49  0.622586  3.7319  4.7284 -0.6152  7.5276  6.7539  6.2538  6.0878  6.0270  6.0143
  50  0.635306  3.7387  4.7172 -0.5679  7.3471  6.6113  6.1360  5.9813  5.9280  5.9184
  51  0.647489  3.7451  4.7060 -0.5229  7.1803  6.4770  6.0251  5.8808  5.8346  5.8280
  52  0.653142  3.7481  4.7007 -0.5020  7.1050  6.4157  5.9740  5.8345  5.7914  5.7862
  53  0.658778  3.7510  4.6952 -0.4813  7.0309  6.3550  5.9234  5.7886  5.7486  5.7446
  54  0.664392  3.7538  4.6896 -0.4607  6.9581  6.2949  5.8734  5.7433  5.7063  5.7035
  55  0.669982  3.7566  4.6839 -0.4402  6.8864  6.2354  5.8239  5.6985  5.6645  5.6629
  56  0.675526  3.7594  4.6782 -0.4199  6.8160  6.1768  5.7751  5.6541  5.6231  5.6227
  57  0.681021  3.7621  4.6726 -0.3999  6.7474  6.1192  5.7269  5.6103  5.5822  5.5829
  58  0.686446  3.7647  4.6670 -0.3802  6.6805  6.0628  5.6795  5.5670  5.5417  5.5436
  59  0.691800  3.7674  4.6615 -0.3607  6.6156  6.0076  5.6329  5.5245  5.5019  5.5048
  60  0.697067  3.7700  4.6561 -0.3416  6.5526  5.9536  5.5871  5.4827  5.4627  5.4667
  61  0.702242  3.7725  4.6508 -0.3229  6.4915  5.9009  5.5424  5.4418  5.4244  5.4294
  62  0.707321  3.7750  4.6457 -0.3047  6.4320  5.8493  5.4986  5.4018  5.3870  5.3929
  63  0.712306  3.7775  4.6407 -0.2867  6.3738  5.7988  5.4559  5.3628  5.3504  5.3574
  64  0.717207  3.7799  4.6359 -0.2691  6.3171  5.7494  5.4141  5.3246  5.3147  5.3226
  65  0.722017  3.7823  4.6310 -0.2518  6.2617  5.7009  5.3731  5.2872  5.2798  5.2886
  66  0.726749  3.7847  4.6263 -0.2348  6.2074  5.6531  5.3329  5.2506  5.2455  5.2553
  67  0.731405  3.7870  4.6215 -0.2180  6.1544  5.6063  5.2934  5.2146  5.2119  5.2224
  68  0.735996  3.7893  4.6168 -0.2014  6.1025  5.5601  5.2543  5.1790  5.1785  5.1899
  69  0.740524  3.7915  4.6119 -0.1850  6.0519  5.5146  5.2156  5.1436  5.1453  5.1575
  70  0.745000  3.7937  4.6070 -0.1689  6.0022  5.4697  5.1772  5.1084  5.1123  5.1253
  71  0.749436  3.7958  4.6019 -0.1527  5.9532  5.4253  5.1392  5.0736  5.0795  5.0932
