#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2510 3.7060E-03 1.8864E-03  -0.96   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 7.900 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.103806  3.5167  5.3376 -2.8634 16.5176 14.4452 12.9970 11.7938 11.3395 11.2154
  11  0.117670  3.5188  5.2745 -2.7373 16.1486 14.0878 12.6472 11.4749 11.0265 10.9021
  12  0.134539  3.5212  5.2093 -2.6044 15.7582 13.7099 12.2776 11.1383 10.6965 10.5718
  13  0.157319  3.5254  5.1480 -2.4588 15.3151 13.2773 11.8556 10.7659 10.3356 10.2115
  14  0.184386  3.5321  5.1041 -2.3189 14.8592 12.8274 11.4194 10.4022  9.9911  9.8696
  15  0.206343  3.5374  5.0747 -2.2193 14.5306 12.5032 11.1054 10.1430  9.7467  9.6278
  16  0.223436  3.5412  5.0529 -2.1477 14.2951 12.2723 10.8819  9.9572  9.5713  9.4545
  17  0.238316  3.5443  5.0353 -2.0897 14.1046 12.0858 10.7017  9.8069  9.4294  9.3144
  18  0.252583  3.5471  5.0199 -2.0380 13.9358 11.9210 10.5423  9.6732  9.3030  9.1895
  19  0.268024  3.5497  5.0049 -1.9864 13.7691 11.7583 10.3850  9.5404  9.1772  9.0652
  20  0.283047  3.5522  4.9911 -1.9393 13.6176 11.6102 10.2419  9.4190  9.0621  8.9517
  21  0.295505  3.5542  4.9793 -1.9009 13.4950 11.4906 10.1263  9.3205  8.9686  8.8594
  22  0.304656  3.5556  4.9701 -1.8727 13.4056 11.4032 10.0419  9.2483  8.9000  8.7917
  23  0.311373  3.5566  4.9633 -1.8523 13.3418 11.3407  9.9814  9.1962  8.8506  8.7428
  24  0.316528  3.5574  4.9580 -1.8369 13.2936 11.2935  9.9356  9.1569  8.8132  8.7058
  25  0.320702  3.5580  4.9539 -1.8247 13.2549 11.2557  9.8991  9.1256  8.7834  8.6763
  26  0.324444  3.5586  4.9503 -1.8137 13.2203 11.2217  9.8662  9.0976  8.7568  8.6501
  27  0.328242  3.5592  4.9468 -1.8027 13.1858 11.1879  9.8336  9.0695  8.7303  8.6239
