#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 1.4021E-04 7.1368E-05  -2.43   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 6.800 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.104283  3.5443  5.3818 -2.7951 16.3151 13.7874 12.2092 11.4877 11.1832 11.0878
  11  0.113510  3.5530  5.3391 -2.6810 15.8391 13.4040 11.8657 11.2130 10.9181 10.8221
  12  0.123807  3.5619  5.2956 -2.5641 15.3473 13.0136 11.5229 10.9280 10.6430 10.5475
  13  0.136663  3.5713  5.2502 -2.4380 14.8204 12.5933 11.1623 10.6164 10.3422 10.2485
  14  0.153003  3.5807  5.2071 -2.3086 14.2847 12.1668 10.8025 10.2942 10.0314  9.9402
  15  0.171392  3.5884  5.1712 -2.1925 13.8068 11.7916 10.4877 10.0050  9.7515  9.6627
  16  0.188061  3.5940  5.1435 -2.1019 13.4466 11.5044 10.2451  9.7788  9.5321  9.4454
  17  0.202830  3.5983  5.1205 -2.0291 13.1657 11.2771 10.0513  9.5965  9.3551  9.2704
  18  0.217252  3.6019  5.0998 -1.9640 12.9208 11.0763  9.8789  9.4334  9.1967  9.1135
  19  0.232574  3.6053  5.0800 -1.9011 12.6892 10.8841  9.7125  9.2754  9.0432  8.9616
  20  0.249335  3.6086  5.0608 -1.8384 12.4609 10.6930  9.5465  9.1176  8.8899  8.8099
  21  0.270162  3.6124  5.0392 -1.7669 12.2047 10.4761  9.3572  8.9374  8.7147  8.6367
  22  0.290584  3.6157  5.0213 -1.7039 11.9818 10.2856  9.1903  8.7784  8.5604  8.4841
  23  0.303777  3.6177  5.0123 -1.6677 11.8533 10.1756  9.0940  8.6869  8.4718  8.3966
  24  0.311880  3.6188  5.0078 -1.6471 11.7803 10.1129  9.0392  8.6347  8.4213  8.3468
  25  0.317492  3.6196  5.0043 -1.6328 11.7301 10.0697  9.0013  8.5987  8.3863  8.3122
  26  0.321625  3.6202  5.0013 -1.6219 11.6918 10.0367  8.9722  8.5710  8.3594  8.2857
  27  0.325196  3.6207  4.9985 -1.6123 11.6579 10.0075  8.9466  8.5466  8.3357  8.2622
  28  0.329130  3.6213  4.9956 -1.6019 11.6216  9.9761  8.9191  8.5204  8.3104  8.2372
  29  0.334375  3.6219  4.9922 -1.5888 11.5753  9.9363  8.8840  8.4872  8.2782  8.2054
  30  0.342168  3.6230  4.9876 -1.5700 11.5090  9.8791  8.8340  8.4396  8.2321  8.1600
  31  0.354545  3.6248  4.9794 -1.5394 11.3997  9.7855  8.7521  8.3620  8.1571  8.0859
  32  0.373188  3.6278  4.9657 -1.4913 11.2235  9.6356  8.6226  8.2399  8.0396  7.9701
  33  0.392306  3.6315  4.9495 -1.4385 11.0246  9.4678  8.4792  8.1056  7.9109  7.8436
  34  0.411628  3.6360  4.9304 -1.3810 10.8045  9.2830  8.3221  7.9592  7.7710  7.7063
  35  0.436077  3.6424  4.9042 -1.3037 10.5007  9.0320  8.1102  7.7626  7.5839  7.5228
  36  0.458330  3.6495  4.8793 -1.2291 10.1959  8.7853  7.9042  7.5729  7.4044  7.3475
  37  0.474927  3.6557  4.8603 -1.1698  9.9436  8.5858  7.7393  7.4222  7.2627  7.2094
  38  0.489238  3.6617  4.8442 -1.1168  9.7128  8.4066  7.5924  7.2885  7.1376  7.0877
  39  0.500834  3.6668  4.8318 -1.0736  9.5206  8.2594  7.4723  7.1798  7.0362  6.9892
  40  0.510074  3.6712  4.8226 -1.0388  9.3636  8.1404  7.3757  7.0928  6.9553  6.9108
  41  0.517945  3.6752  4.8149 -1.0085  9.2250  8.0363  7.2920  7.0177  6.8859  6.8436
  42  0.525368  3.6791  4.8079 -0.9796  9.0910  7.9367  7.2119  6.9462  6.8198  6.7798
  43  0.533306  3.6835  4.8008 -0.9485  8.9475  7.8308  7.1269  6.8700  6.7495  6.7118
  44  0.542514  3.6886  4.7927 -0.9127  8.7832  7.7098  7.0295  6.7827  6.6689  6.6340
  45  0.553601  3.6947  4.7833 -0.8699  8.5900  7.5665  6.9139  6.6793  6.5735  6.5419
  46  0.566034  3.7018  4.7729 -0.8216  8.3747  7.4065  6.7852  6.5645  6.4676  6.4398
  47  0.578975  3.7093  4.7622 -0.7712  8.1535  7.2415  6.6527  6.4464  6.3591  6.3352
  48  0.591936  3.7167  4.7513 -0.7211  7.9407  7.0811  6.5230  6.3304  6.2520  6.2319
  49  0.604554  3.7238  4.7405 -0.6727  7.7440  6.9304  6.3998  6.2194  6.1491  6.1326
  50  0.616755  3.7305  4.7296 -0.6261  7.5616  6.7883  6.2829  6.1137  6.0510  6.0376
  51  0.628515  3.7369  4.7188 -0.5815  7.3915  6.6537  6.1716  6.0130  5.9574  5.9470
  52  0.634015  3.7399  4.7136 -0.5607  7.3138  6.5913  6.1202  5.9664  5.9140  5.9050
  53  0.639487  3.7428  4.7085 -0.5400  7.2375  6.5297  6.0692  5.9203  5.8711  5.8635
  54  0.644936  3.7457  4.7031 -0.5194  7.1627  6.4688  6.0187  5.8746  5.8286  5.8223
  55  0.650370  3.7485  4.6977 -0.4990  7.0893  6.4086  5.9686  5.8293  5.7864  5.7814
  56  0.655776  3.7513  4.6922 -0.4788  7.0173  6.3492  5.9190  5.7844  5.7444  5.7407
