#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2489 2.4387E-03 1.2413E-03  -1.13   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 9.200 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  11  0.107242  3.5206  5.3283 -2.8243 16.4394 14.2800 12.8007 11.6779 11.2537 11.1367
  12  0.120738  3.5241  5.2682 -2.6987 16.0486 13.9036 12.4338 11.3588 10.9443 10.8275
  13  0.137309  3.5282  5.2072 -2.5659 15.6296 13.5029 12.0441 11.0204 10.6167 10.5003
  14  0.158394  3.5339  5.1535 -2.4273 15.1758 13.0686 11.6238 10.6649 10.2762 10.1611
  15  0.181171  3.5408  5.1153 -2.3033 14.7496 12.6608 11.2324 10.3434  9.9724  9.8598
  16  0.200244  3.5460  5.0874 -2.2109 14.4334 12.3600 10.9448 10.1047  9.7465  9.6362
  17  0.216178  3.5498  5.0654 -2.1401 14.1949 12.1334 10.7283  9.9225  9.5736  9.4651
  18  0.230984  3.5531  5.0464 -2.0795 13.9926 11.9415 10.5449  9.7668  9.4254  9.3185
  19  0.245131  3.5558  5.0297 -2.0259 13.8152 11.7735 10.3845  9.6294  9.2946  9.1890
  20  0.260336  3.5584  5.0141 -1.9734 13.6435 11.6101 10.2284  9.4953  9.1665  9.0623
  21  0.276159  3.5609  4.9996 -1.9234 13.4809 11.4548 10.0801  9.3671  9.0443  8.9415
  22  0.290083  3.5630  4.9870 -1.8812 13.3449 11.3247  9.9557  9.2592  8.9413  8.8397
  23  0.300588  3.5645  4.9772 -1.8497 13.2443 11.2281  9.8634  9.1789  8.8646  8.7639
  24  0.308358  3.5656  4.9699 -1.8269 13.1721 11.1586  9.7969  9.1209  8.8092  8.7090
  25  0.314303  3.5665  4.9646 -1.8100 13.1186 11.1071  9.7477  9.0779  8.7681  8.6683
  26  0.318907  3.5671  4.9604 -1.7970 13.0773 11.0674  9.7098  9.0448  8.7365  8.6371
  27  0.322700  3.5677  4.9569 -1.7862 13.0431 11.0347  9.6785  9.0175  8.7104  8.6113
  28  0.326390  3.5682  4.9538 -1.7761 13.0102 11.0032  9.6485  8.9914  8.6857  8.5868
  29  0.330285  3.5687  4.9506 -1.7653 12.9757 10.9700  9.6170  8.9642  8.6597  8.5611
  30  0.335065  3.5694  4.9468 -1.7525 12.9341 10.9301  9.5789  8.9314  8.6286  8.5305
  31  0.338761  3.5699  4.9441 -1.7430 12.9030 10.9020  9.5521  8.9077  8.6057  8.5077
  32  0.360196  3.5739  4.9229 -1.6794 12.6932 10.7000  9.3594  8.7456  8.4535  8.3576
  33  0.393401  3.5815  4.8859 -1.5749 12.3428 10.3613  9.0390  8.4789  8.2049  8.1130
  34  0.414130  3.5861  4.8615 -1.5088 12.1114 10.1481  8.8461  8.3110  8.0466  7.9571
  35  0.430734  3.5905  4.8401 -1.4525 11.9085  9.9624  8.6810  8.1676  7.9118  7.8245
  36  0.442283  3.5942  4.8246 -1.4109 11.7578  9.8220  8.5557  8.0614  7.8132  7.7278
  37  0.454257  3.5982  4.8085 -1.3669 11.5959  9.6711  8.4224  7.9489  7.7092  7.6258
  38  0.466930  3.6031  4.7919 -1.3192 11.4171  9.5053  8.2787  7.8271  7.5969  7.5158
  39  0.479483  3.6082  4.7759 -1.2709 11.2325  9.3348  8.1347  7.7040  7.4833  7.4047
  40  0.491094  3.6135  4.7620 -1.2256 11.0552  9.1715  8.0006  7.5886  7.3767  7.3006
  41  0.501417  3.6185  4.7505 -1.1848 10.8916  9.0209  7.8803  7.4849  7.2815  7.2076
  42  0.510612  3.6234  4.7409 -1.1480 10.7395  8.8819  7.7718  7.3915  7.1958  7.1242
