#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2496 2.8198E-03 1.4353E-03  -1.07   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 7.300 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  10  0.107990  3.5196  5.3232 -2.8203 16.4161 14.2862 12.8188 11.6732 11.2399 11.1207
  11  0.121681  3.5226  5.2626 -2.6961 16.0383 13.9214 12.4628 11.3581 10.9329 10.8139
  12  0.138832  3.5261  5.2007 -2.5628 15.6275 13.5263 12.0777 11.0188 10.6032 10.4844
  13  0.162274  3.5319  5.1447 -2.4160 15.1551 13.0694 11.6345 10.6415 10.2416 10.1240
  14  0.188802  3.5394  5.1046 -2.2800 14.6939 12.6225 11.2040 10.2882  9.9085  9.7938
  15  0.210164  3.5448  5.0758 -2.1830 14.3666 12.3075 10.9013 10.0372  9.6711  9.5591
  16  0.227393  3.5486  5.0541 -2.1115 14.1276 12.0779 10.6810  9.8524  9.4962  9.3861
  17  0.242656  3.5518  5.0362 -2.0528 13.9335 11.8919 10.5025  9.7015  9.3530  9.2445
  18  0.258104  3.5546  5.0200 -1.9985 13.7558 11.7214 10.3389  9.5622  9.2205  9.1136
  19  0.274108  3.5571  5.0051 -1.9470 13.5887 11.5607 10.1844  9.4302  9.0949  8.9895
  20  0.288371  3.5594  4.9921 -1.9031 13.4471 11.4245 10.0537  9.3177  8.9878  8.8837
  21  0.299282  3.5611  4.9814 -1.8697 13.3403 11.3214  9.9548  9.2322  8.9063  8.8031
  22  0.307177  3.5622  4.9733 -1.8456 13.2642 11.2478  9.8839  9.1709  8.8478  8.7452
  23  0.313165  3.5631  4.9671 -1.8277 13.2079 11.1932  9.8316  9.1252  8.8041  8.7020
  24  0.317851  3.5637  4.9622 -1.8138 13.1640 11.1511  9.7910  9.0898  8.7702  8.6685
  25  0.321815  3.5643  4.9583 -1.8022 13.1275 11.1157  9.7570  9.0604  8.7421  8.6407
  26  0.325601  3.5649  4.9548 -1.7913 13.0930 11.0823  9.7250  9.0327  8.7159  8.6147
  27  0.329744  3.5655  4.9511 -1.7798 13.0562 11.0467  9.6909  9.0032  8.6879  8.5871
  28  0.335372  3.5663  4.9469 -1.7649 13.0081 11.0001  9.6462  8.9651  8.6519  8.5514
  29  0.341853  3.5673  4.9421 -1.7478 12.9527 10.9473  9.5954  8.9218  8.6107  8.5108
