#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2454 2.5304E-04 1.2880E-04  -2.19   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 7.900 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  11  0.108677  3.5433  5.3540 -2.7533 16.1811 13.7242 12.1554 11.4107 11.0980 11.0005
  12  0.118884  3.5511  5.3081 -2.6373 15.7240 13.3396 11.8049 11.1253 10.8230 10.7253
  13  0.131038  3.5594  5.2608 -2.5147 15.2396 12.9355 11.4424 10.8210 10.5294 10.4328
  14  0.146213  3.5681  5.2150 -2.3868 14.7349 12.5149 11.0718 10.5007 10.2206 10.1260
  15  0.163843  3.5762  5.1767 -2.2668 14.2596 12.1233 10.7322 10.1996  9.9301  9.8379
  16  0.180678  3.5824  5.1472 -2.1698 13.8777 11.8104 10.4630  9.9556  9.6945  9.6043
  17  0.195467  3.5870  5.1234 -2.0934 13.5851 11.5688 10.2545  9.7636  9.5086  9.4202
  18  0.209419  3.5907  5.1024 -2.0277 13.3381 11.3637 10.0769  9.5984  9.3482  9.2612
  19  0.223749  3.5940  5.0828 -1.9658 13.1095 11.1728  9.9110  9.4431  9.1974  9.1118
  20  0.238855  3.5972  5.0642 -1.9062 12.8910 10.9896  9.7516  9.2931  9.0516  8.9675
  21  0.255996  3.6005  5.0457 -1.8446 12.6657 10.8010  9.5875  9.1383  8.9011  8.8183
  22  0.276008  3.6039  5.0263 -1.7787 12.4265 10.5998  9.4124  8.9726  8.7401  8.6589
  23  0.293984  3.6067  5.0109 -1.7245 12.2313 10.4348  9.2685  8.8360  8.6076  8.5276
  24  0.305410  3.6084  5.0026 -1.6927 12.1169 10.3379  9.1841  8.7561  8.5299  8.4507
  25  0.312892  3.6095  4.9976 -1.6732 12.0468 10.2784  9.1322  8.7067  8.4820  8.4033
  26  0.318177  3.6101  4.9940 -1.6594 11.9981 10.2369  9.0959  8.6722  8.4485  8.3702
  27  0.322192  3.6106  4.9912 -1.6489 11.9604 10.2048  9.0679  8.6457  8.4227  8.3446
  28  0.325836  3.6111  4.9886 -1.6394 11.9265 10.1759  9.0426  8.6217  8.3995  8.3217
  29  0.329929  3.6117  4.9860 -1.6292 11.8894 10.1443  9.0152  8.5957  8.3743  8.2967
  30  0.335469  3.6125  4.9834 -1.6164 11.8426 10.1047  8.9808  8.5633  8.3429  8.2657
  31  0.343092  3.6135  4.9789 -1.5980 11.7767 10.0485  8.9320  8.5170  8.2980  8.2215
  32  0.353231  3.6150  4.9716 -1.5722 11.6831  9.9689  8.8629  8.4516  8.2349  8.1590
  33  0.372713  3.6184  4.9557 -1.5195 11.4849  9.8021  8.7207  8.3179  8.1060  8.0320
  34  0.395423  3.6233  4.9328 -1.4513 11.2228  9.5817  8.5350  8.1447  7.9398  7.8684
  35  0.417297  3.6291  4.9082 -1.3804 10.9474  9.3482  8.3401  7.9643  7.7679  7.6994
  36  0.437710  3.6352  4.8847 -1.3116 10.6762  9.1183  8.1493  7.7888  7.6016  7.5366
  37  0.455959  3.6414  4.8638 -1.2483 10.4177  8.9035  7.9727  7.6275  7.4495  7.3879
  38  0.470761  3.6471  4.8468 -1.1943 10.1885  8.7170  7.8211  7.4901  7.3208  7.2624
  39  0.483231  3.6526  4.8326 -1.1468  9.9799  8.5511  7.6875  7.3696  7.2082  7.1530
  40  0.494124  3.6577  4.8206 -1.1045  9.7899  8.4027  7.5686  7.2627  7.1089  7.0565
  41  0.503799  3.6625  4.8108 -1.0670  9.6180  8.2699  7.4628  7.1680  7.0211  6.9714
  42  0.512027  3.6669  4.8029 -1.0347  9.4668  8.1548  7.3717  7.0868  6.9462  6.8989
  43  0.519499  3.6711  4.7961 -1.0048  9.3245  8.0480  7.2875  7.0121  6.8775  6.8325
  44  0.526850  3.6754  4.7897 -0.9750  9.1812  7.9419  7.2040  6.9381  6.8095  6.7669
  45  0.534846  3.6802  4.7830 -0.9427  9.0253  7.8278  7.1140  6.8578  6.7358  6.6958
  46  0.544147  3.6857  4.7755 -0.9054  8.8469  7.6983  7.0109  6.7659  6.6512  6.6143
  47  0.554997  3.6923  4.7668 -0.8621  8.6427  7.5505  6.8927  6.6600  6.5537  6.5205
  48  0.566823  3.6996  4.7576 -0.8146  8.4241  7.3910  6.7648  6.5458  6.4486  6.4192
  49  0.578883  3.7070  4.7483 -0.7663  8.2040  7.2305  6.6362  6.4311  6.3432  6.3178
  50  0.590751  3.7143  4.7388 -0.7190  7.9947  7.0775  6.5125  6.3203  6.2410  6.2194
  51  0.602119  3.7211  4.7291 -0.6741  7.8046  6.9364  6.3971  6.2161  6.1445  6.1263
  52  0.607474  3.7241  4.7244 -0.6530  7.7179  6.8711  6.3435  6.1675  6.0995  6.0828
