#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2503 3.2608E-03 1.6598E-03  -1.01   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE=12.700 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  13  0.116066  3.5199  5.2821 -2.7467 16.1847 14.0923 12.6411 11.4922 11.0533 10.9318
  14  0.132453  3.5228  5.2170 -2.6127 15.7840 13.7049 12.2628 11.1525 10.7215 10.5999
  15  0.151659  3.5266  5.1600 -2.4816 15.3803 13.3131 11.8811 10.8174 10.3970 10.2758
  16  0.171373  3.5316  5.1204 -2.3687 15.0134 12.9547 11.5337 10.5254 10.1190  9.9993
  17  0.188378  3.5363  5.0937 -2.2822 14.7239 12.6713 11.2599 10.3002  9.9066  9.7888
  18  0.202656  3.5399  5.0724 -2.2148 14.4999 12.4530 11.0490 10.1253  9.7413  9.6254
  19  0.215697  3.5430  5.0540 -2.1571 14.3093 12.2677 10.8701  9.9762  9.6002  9.4858
  20  0.228385  3.5457  5.0377 -2.1047 14.1361 12.0996 10.7079  9.8407  9.4720  9.3591
  21  0.241097  3.5483  5.0226 -2.0556 13.9747 11.9433 10.5571  9.7140  9.3522  9.2407
  22  0.254600  3.5509  5.0081 -2.0073 13.8169 11.7903 10.4097  9.5896  9.2342  9.1242
  23  0.270576  3.5536  4.9931 -1.9551 13.6483 11.6266 10.2517  9.4555  9.1069  8.9985
  24  0.286229  3.5561  4.9795 -1.9071 13.4944 11.4769 10.1073  9.3323  8.9901  8.8830
  25  0.298853  3.5580  4.9686 -1.8696 13.3743 11.3599  9.9945  9.2361  8.8988  8.7929
  26  0.307791  3.5594  4.9610 -1.8438 13.2924 11.2798  9.9173  9.1702  8.8363  8.7312
  27  0.314251  3.5603  4.9558 -1.8258 13.2351 11.2240  9.8635  9.1240  8.7925  8.6879
  28  0.319049  3.5611  4.9519 -1.8125 13.1927 11.1826  9.8235  9.0900  8.7602  8.6561
  29  0.322716  3.5617  4.9488 -1.8020 13.1593 11.1501  9.7923  9.0633  8.7349  8.6311
  30  0.325928  3.5622  4.9458 -1.7927 13.1296 11.1212  9.7644  9.0396  8.7125  8.6090
  31  0.329113  3.5627  4.9429 -1.7835 13.0999 11.0923  9.7366  9.0160  8.6902  8.5870
  32  0.332737  3.5633  4.9397 -1.7732 13.0668 11.0600  9.7056  8.9897  8.6655  8.5626
  33  0.336940  3.5639  4.9360 -1.7612 13.0287 11.0228  9.6698  8.9593  8.6366  8.5342
  34  0.342316  3.5648  4.9311 -1.7461 12.9799 10.9753  9.6241  8.9205  8.6001  8.4980
  35  0.348620  3.5658  4.9249 -1.7277 12.9212 10.9187  9.5697  8.8740  8.5559  8.4545
  36  0.389732  3.5747  4.8802 -1.5997 12.4966 10.5056  9.1760  8.5465  8.2503  8.1538
  37  0.412839  3.5806  4.8523 -1.5231 12.2375 10.2546  8.9396  8.3511  8.0692  7.9758
  38  0.425089  3.5840  4.8363 -1.4806 12.0893 10.1138  8.8098  8.2427  7.9686  7.8771
  39  0.435535  3.5872  4.8221 -1.4431 11.9568  9.9879  8.6944  8.1468  7.8801  7.7903
  40  0.445686  3.5906  4.8084 -1.4059 11.8237  9.8613  8.5795  8.0517  7.7926  7.7046
  41  0.456854  3.5945  4.7934 -1.3643 11.6727  9.7181  8.4509  7.9453  7.6951  7.6091
  42  0.468655  3.5991  4.7775 -1.3191 11.5061  9.5605  8.3119  7.8299  7.5895  7.5058
  43  0.480545  3.6040  4.7620 -1.2728 11.3318  9.3965  8.1700  7.7115  7.4811  7.3999
  44  0.491832  3.6091  4.7478 -1.2282 11.1617  9.2365  8.0353  7.5981  7.3772  7.2983
  45  0.501957  3.6139  4.7359 -1.1880 11.0049  9.0895  7.9146  7.4957  7.2835  7.2068
  46  0.511051  3.6186  4.7257 -1.1513 10.8588  8.9530  7.8048  7.4025  7.1983  7.1238
  47  0.519610  3.6234  4.7167 -1.1162 10.7159  8.8196  7.6998  7.3134  7.1169  7.0446
  48  0.528142  3.6284  4.7083 -1.0808 10.5698  8.6820  7.5929  7.2234  7.0355  6.9652
  49  0.537011  3.6338  4.7003 -1.0437 10.4124  8.5350  7.4804  7.1292  6.9503  6.8825
  50  0.546376  3.6398  4.6925 -1.0045 10.2389  8.3766  7.3615  7.0293  6.8603  6.7952
  51  0.556055  3.6463  4.6854 -0.9636 10.0457  8.2087  7.2377  6.9253  6.7665  6.7044
  52  0.561199  3.6499  4.6822 -0.9417  9.9342  8.1169  7.1710  6.8694  6.7162  6.6559
  53  0.566298  3.6537  4.6791 -0.9199  9.8191  8.0250  7.1048  6.8137  6.6660  6.6076
  54  0.571351  3.6574  4.6763 -0.8983  9.7016  7.9335  7.0393  6.7582  6.6159  6.5595
  55  0.576369  3.6612  4.6736 -0.8768  9.5824  7.8429  6.9744  6.7031  6.5662  6.5116
  56  0.581343  3.6649  4.6709 -0.8555  9.4632  7.7542  6.9106  6.6483  6.5165  6.4640
  57  0.586274  3.6686  4.6681 -0.8344  9.3446  7.6676  6.8480  6.5941  6.4672  6.4166
  58  0.591177  3.6721  4.6653 -0.8135  9.2266  7.5832  6.7865  6.5403  6.4183  6.3697
  59  0.596058  3.6756  4.6621 -0.7928  9.1097  7.5009  6.7261  6.4872  6.3696  6.3231
  60  0.600903  3.6791  4.6589 -0.7724  8.9937  7.4205  6.6669  6.4348  6.3217  6.2771
  61  0.605701  3.6825  4.6555 -0.7521  8.8771  7.3423  6.6091  6.3833  6.2745  6.2319
  62  0.610445  3.6857  4.6520 -0.7321  8.7606  7.2661  6.5526  6.3327  6.2282  6.1875
  63  0.615121  3.6889  4.6485 -0.7124  8.6454  7.1918  6.4973  6.2833  6.1827  6.1440
  64  0.619737  3.6921  4.6448 -0.6929  8.5333  7.1198  6.4432  6.2347  6.1380  6.1011
  65  0.624287  3.6952  4.6411 -0.6737  8.4252  7.0499  6.3902  6.1869  6.0941  6.0590
  66  0.628768  3.6982  4.6373 -0.6549  8.3215  6.9820  6.3383  6.1401  6.0509  6.0176
  67  0.633190  3.7011  4.6335 -0.6362  8.2271  6.9166  6.2870  6.0940  6.0084  5.9766
  68  0.637539  3.7039  4.6295 -0.6179  8.1394  6.8534  6.2367  6.0487  5.9665  5.9363
  69  0.641836  3.7067  4.6255 -0.5997  8.0567  6.7922  6.1873  6.0040  5.9253  5.8965
  70  0.646070  3.7094  4.6213 -0.5818  7.9771  6.7324  6.1388  5.9602  5.8847  5.8573
  71  0.650244  3.7121  4.6171 -0.5642  7.8998  6.6743  6.0912  5.9172  5.8447  5.8188
  72  0.654350  3.7147  4.6129 -0.5468  7.8244  6.6175  6.0446  5.8749  5.8056  5.7810
  73  0.658404  3.7172  4.6086 -0.5296  7.7480  6.5618  5.9989  5.8334  5.7670  5.7437
  74  0.662391  3.7197  4.6041 -0.5127  7.6722  6.5073  5.9542  5.7927  5.7291  5.7071
  75  0.666311  3.7222  4.5997 -0.4960  7.5962  6.4540  5.9105  5.7527  5.6920  5.6712
  76  0.670165  3.7245  4.5951 -0.4796  7.5221  6.4019  5.8677  5.7136  5.6555  5.6360
  77  0.673955  3.7268  4.5905 -0.4634  7.4493  6.3509  5.8258  5.6752  5.6197  5.6013
  78  0.677669  3.7290  4.5858 -0.4475  7.3784  6.3012  5.7848  5.6375  5.5845  5.5673
  79  0.681322  3.7312  4.5811 -0.4317  7.3092  6.2527  5.7446  5.6006  5.5498  5.5339
  80  0.684904  3.7332  4.5763 -0.4163  7.2425  6.2052  5.7053  5.5643  5.5159  5.5009
  81  0.688425  3.7352  4.5712 -0.4012  7.1778  6.1589  5.6666  5.5286  5.4824  5.4686
  82  0.692967  3.7378  4.5646 -0.3814  7.0956  6.0993  5.6168  5.4826  5.4393  5.4266
  83  0.697455  3.7403  4.5578 -0.3619  7.0154  6.0407  5.5676  5.4370  5.3963  5.3849
  84  0.701890  3.7426  4.5506 -0.3423  6.9373  5.9832  5.5188  5.3919  5.3537  5.3434
  85  0.706274  3.7450  4.5433 -0.3229  6.8609  5.9264  5.4707  5.3470  5.3112  5.3021
  86  0.710607  3.7472  4.5356 -0.3037  6.7862  5.8703  5.4228  5.3025  5.2689  5.2609
  87  0.714890  3.7494  4.5278 -0.2846  6.7134  5.8150  5.3752  5.2580  5.2267  5.2197
  88  0.719117  3.7516  4.5198 -0.2655  6.6422  5.7605  5.3280  5.2137  5.1845  5.1786
  89  0.723287  3.7536  4.5115 -0.2465  6.5728  5.7067  5.2811  5.1696  5.1423  5.1374
  90  0.727393  3.7556  4.5029 -0.2276  6.5048  5.6536  5.2346  5.1257  5.1004  5.0963
  91  0.731431  3.7574  4.4940 -0.2090  6.4384  5.6012  5.1885  5.0821  5.0586  5.0555
  92  0.735391  3.7592  4.4848 -0.1904  6.3735  5.5496  5.1428  5.0389  5.0170  5.0147
  93  0.739269  3.7609  4.4756 -0.1719  6.3100  5.4986  5.0977  4.9960  4.9758  4.9743
  94  0.743058  3.7625  4.4661 -0.1536  6.2480  5.4483  5.0531  4.9536  4.9349  4.9343
  95  0.746750  3.7640  4.4564 -0.1356  6.1873  5.3989  5.0091  4.9118  4.8945  4.8946
  96  0.750341  3.7655  4.4466 -0.1178  6.1278  5.3503  4.9658  4.8706  4.8547  4.8554
  97  0.753828  3.7669  4.4366 -0.1002  6.0696  5.3025  4.9232  4.8300  4.8153  4.8167
  98  0.757210  3.7682  4.4264 -0.0829  6.0128  5.2554  4.8812  4.7899  4.7765  4.7784
  99  0.760494  3.7695  4.4161 -0.0658  5.9578  5.2093  4.8396  4.7501  4.7379  4.7404
 100  0.763683  3.7707  4.4057 -0.0488  5.9041  5.1640  4.7987  4.7108  4.6996  4.7027
 101  0.766780  3.7718  4.3951 -0.0322  5.8516  5.1194  4.7583  4.6720  4.6618  4.6654
 102  0.769793  3.7728  4.3845 -0.0158  5.8005  5.0755  4.7183  4.6335  4.6242  4.6283
 103  0.772727  3.7737  4.3738  0.0005  5.7506  5.0322  4.6788  4.5954  4.5871  4.5915
 104  0.775588  3.7746  4.3630  0.0166  5.7018  4.9897  4.6397  4.5576  4.5501  4.5550
 105  0.778388  3.7754  4.3521  0.0324  5.6541  4.9479  4.6011  4.5203  4.5134  4.5188
 106  0.781130  3.7763  4.3412  0.0481  5.6074  4.9065  4.5629  4.4832  4.4771  4.4828
 107  0.783826  3.7771  4.3302  0.0636  5.5616  4.8657  4.5249  4.4464  4.4410  4.4470
 108  0.786487  3.7778  4.3192  0.0790  5.5167  4.8254  4.4873  4.4099  4.4051  4.4115
 109  0.789126  3.7784  4.3081  0.0942  5.4726  4.7856  4.4501  4.3736  4.3695  4.3759
 110  0.791725  3.7791  4.2970  0.1093  5.4294  4.7463  4.4130  4.3376  4.3339  4.3408
 111  0.794186  3.7798  4.2864  0.1242  5.3862  4.7072  4.3765  4.3021  4.2990  4.3062
 112  0.795057  3.7800  4.2826  0.1295  5.3706  4.6931  4.3633  4.2893  4.2865  4.2938
 113  0.795930  3.7803  4.2787  0.1349  5.3551  4.6789  4.3501  4.2764  4.2739  4.2812
 114  0.796804  3.7806  4.2747  0.1404  5.3395  4.6647  4.3367  4.2634  4.2610  4.2684
 115  0.797677  3.7808  4.2706  0.1459  5.3239  4.6503  4.3231  4.2502  4.2480  4.2556
 116  0.798550  3.7810  4.2663  0.1514  5.3085  4.6358  4.3094  4.2368  4.2347  4.2424
 117  0.799421  3.7812  4.2619  0.1570  5.2928  4.6213  4.2955  4.2231  4.2213  4.2291
 118  0.800291  3.7814  4.2574  0.1627  5.2772  4.6066  4.2815  4.2094  4.2077  4.2155
 119  0.801161  3.7816  4.2527  0.1684  5.2615  4.5919  4.2673  4.1955  4.1938  4.2016
 120  0.802028  3.7817  4.2480  0.1743  5.2460  4.5771  4.2530  4.1813  4.1799  4.1877
 121  0.802895  3.7818  4.2432  0.1801  5.2302  4.5621  4.2386  4.1671  4.1657  4.1737
 122  0.803760  3.7819  4.2382  0.1860  5.2145  4.5470  4.2240  4.1527  4.1513  4.1594
 123  0.804623  3.7821  4.2332  0.1919  5.1986  4.5319  4.2093  4.1382  4.1370  4.1450
 124  0.805481  3.7822  4.2282  0.1979  5.1825  4.5165  4.1943  4.1234  4.1223  4.1305
 125  0.806340  3.7823  4.2231  0.2039  5.1665  4.5012  4.1794  4.1087  4.1076  4.1157
 126  0.807201  3.7824  4.2178  0.2100  5.1505  4.4857  4.1644  4.0937  4.0928  4.1009
 127  0.808060  3.7825  4.2125  0.2161  5.1344  4.4703  4.1492  4.0787  4.0778  4.0860
 128  0.808917  3.7825  4.2071  0.2222  5.1183  4.4547  4.1339  4.0636  4.0627  4.0709
 129  0.809773  3.7826  4.2016  0.2284  5.1023  4.4390  4.1186  4.0483  4.0474  4.0557
 130  0.810628  3.7826  4.1960  0.2346  5.0863  4.4233  4.1031  4.0329  4.0320  4.0403
 131  0.811479  3.7826  4.1902  0.2409  5.0704  4.4076  4.0875  4.0173  4.0164  4.0247
 132  0.812328  3.7826  4.1842  0.2472  5.0545  4.3919  4.0718  4.0016  4.0006  4.0089
 133  0.813172  3.7825  4.1782  0.2536  5.0387  4.3762  4.0559  3.9857  3.9846  3.9929
 134  0.814014  3.7825  4.1720  0.2599  5.0229  4.3603  4.0400  3.9697  3.9685  3.9767
 135  0.814849  3.7824  4.1656  0.2663  5.0072  4.3444  4.0239  3.9534  3.9522  3.9604
 136  0.815680  3.7823  4.1591  0.2728  4.9916  4.3284  4.0077  3.9370  3.9356  3.9438
 137  0.816506  3.7821  4.1524  0.2793  4.9760  4.3125  3.9913  3.9205  3.9190  3.9270
 138  0.817326  3.7819  4.1455  0.2859  4.9606  4.2965  3.9748  3.9038  3.9020  3.9100
 139  0.818140  3.7817  4.1385  0.2924  4.9453  4.2806  3.9583  3.8869  3.8849  3.8928
 140  0.818948  3.7814  4.1313  0.2991  4.9302  4.2646  3.9416  3.8698  3.8676  3.8754
 141  0.819750  3.7812  4.1239  0.3057  4.9151  4.2485  3.9248  3.8527  3.8501  3.8578
 142  0.820544  3.7808  4.1163  0.3125  4.9004  4.2326  3.9078  3.8352  3.8324  3.8399
 143  0.821330  3.7804  4.1083  0.3192  4.8859  4.2166  3.8907  3.8177  3.8144  3.8218
 144  0.822110  3.7800  4.1003  0.3259  4.8718  4.2008  3.8736  3.7998  3.7962  3.8034
 145  0.822881  3.7795  4.0919  0.3328  4.8581  4.1850  3.8563  3.7818  3.7777  3.7847
 146  0.823645  3.7789  4.0833  0.3396  4.8448  4.1692  3.8389  3.7636  3.7590  3.7657
 147  0.824401  3.7783  4.0743  0.3465  4.8320  4.1536  3.8213  3.7452  3.7399  3.7464
 148  0.825148  3.7775  4.0650  0.3533  4.8200  4.1382  3.8035  3.7265  3.7206  3.7266
 149  0.825888  3.7768  4.0553  0.3603  4.8090  4.1229  3.7857  3.7075  3.7008  3.7065
 150  0.826621  3.7760  4.0454  0.3671  4.7982  4.1077  3.7678  3.6884  3.6809  3.6861
 151  0.827344  3.7749  4.0348  0.3741  4.7889  4.0930  3.7497  3.6689  3.6604  3.6653
 152  0.828060  3.7739  4.0241  0.3809  4.7800  4.0784  3.7316  3.6494  3.6398  3.6442
 153  0.828769  3.7729  4.0133  0.3879  4.7713  4.0637  3.7135  3.6297  3.6191  3.6230
 154  0.829472  3.7718  4.0023  0.3948  4.7629  4.0491  3.6953  3.6099  3.5983  3.6017
 155  0.830171  3.7706  3.9909  0.4019  4.7554  4.0347  3.6769  3.5901  3.5773  3.5800
 156  0.830864  3.7693  3.9791  0.4088  4.7491  4.0209  3.6587  3.5699  3.5558  3.5579
 157  0.831553  3.7678  3.9666  0.4157  4.7446  4.0076  3.6403  3.5494  3.5339  3.5352
 158  0.832240  3.7660  3.9529  0.4225  4.7433  3.9955  3.6220  3.5286  3.5113  3.5118
 159  0.832924  3.7639  3.9382  0.4293  4.7448  3.9846  3.6040  3.5076  3.4882  3.4877
 160  0.833603  3.7614  3.9220  0.4358  4.7496  3.9754  3.5865  3.4865  3.4648  3.4632
 161  0.834277  3.7585  3.9045  0.4422  4.7589  3.9682  3.5696  3.4654  3.4408  3.4379
 162  0.834903  3.7554  3.8867  0.4478  4.7735  3.9643  3.5549  3.4460  3.4184  3.4140
 163  0.835524  3.7519  3.8672  0.4538  4.7909  3.9609  3.5397  3.4256  3.3945  3.3884
 164  0.836140  3.7482  3.8461  0.4603  4.8116  3.9579  3.5236  3.4039  3.3688  3.3610
 165  0.836744  3.7442  3.8229  0.4676  4.8345  3.9541  3.5055  3.3798  3.3404  3.3307
 166  0.837329  3.7401  3.7981  0.4766  4.8551  3.9469  3.4839  3.3521  3.3084  3.2967
 167  0.837884  3.7364  3.7723  0.4875  4.8692  3.9344  3.4578  3.3202  3.2725  3.2589
 168  0.838398  3.7330  3.7463  0.5004  4.8745  3.9156  3.4271  3.2842  3.2329  3.2176
 169  0.838872  3.7301  3.7206  0.5149  4.8706  3.8910  3.3924  3.2453  3.1907  3.1741
 170  0.839311  3.7278  3.6959  0.5305  4.8585  3.8617  3.3549  3.2041  3.1470  3.1291
 171  0.839719  3.7259  3.6720  0.5470  4.8395  3.8287  3.3153  3.1616  3.1022  3.0833
 172  0.840103  3.7243  3.6486  0.5641  4.8154  3.7931  3.2741  3.1179  3.0567  3.0370
 173  0.840469  3.7229  3.6260  0.5814  4.7872  3.7555  3.2319  3.0736  3.0108  2.9904
 174  0.840821  3.7217  3.6040  0.5992  4.7557  3.7163  3.1889  3.0288  2.9647  2.9436
 175  0.841159  3.7208  3.5825  0.6171  4.7217  3.6759  3.1452  2.9836  2.9184  2.8968
 176  0.841489  3.7200  3.5612  0.6350  4.6858  3.6347  3.1012  2.9382  2.8720  2.8500
 177  0.841811  3.7193  3.5403  0.6532  4.6484  3.5928  3.0568  2.8927  2.8255  2.8031
 178  0.842127  3.7186  3.5197  0.6714  4.6097  3.5503  3.0122  2.8469  2.7789  2.7562
 179  0.842436  3.7180  3.4991  0.6897  4.5701  3.5075  2.9674  2.8012  2.7325  2.7094
 180  0.842742  3.7174  3.4787  0.7080  4.5301  3.4644  2.9225  2.7553  2.6858  2.6625
 181  0.843044  3.7169  3.4584  0.7263  4.4893  3.4212  2.8775  2.7093  2.6392  2.6156
 182  0.843277  3.7165  3.4426  0.7406  4.4569  3.3873  2.8423  2.6735  2.6028  2.5790
 183  0.843510  3.7161  3.4267  0.7550  4.4241  3.3532  2.8069  2.6374  2.5662  2.5421
 184  0.843742  3.7157  3.4107  0.7695  4.3911  3.3187  2.7712  2.6009  2.5292  2.5050
 185  0.843975  3.7153  3.3947  0.7842  4.3574  3.2838  2.7352  2.5642  2.4921  2.4677
 186  0.844207  3.7150  3.3786  0.7990  4.3232  3.2485  2.6987  2.5271  2.4546  2.4299
 187  0.844437  3.7146  3.3622  0.8141  4.2885  3.2126  2.6616  2.4894  2.4163  2.3915
 188  0.844668  3.7142  3.3455  0.8293  4.2533  3.1763  2.6241  2.4511  2.3776  2.3526
 189  0.844897  3.7139  3.3288  0.8448  4.2175  3.1393  2.5860  2.4124  2.3384  2.3133
 190  0.845126  3.7135  3.3119  0.8605  4.1811  3.1018  2.5475  2.3732  2.2988  2.2734
 191  0.845353  3.7131  3.2946  0.8765  4.1440  3.0637  2.5081  2.3332  2.2582  2.2328
 192  0.845575  3.7128  3.2761  0.8935  4.1047  3.0230  2.4662  2.2906  2.2152  2.1895
 193  0.845792  3.7123  3.2563  0.9117  4.0629  2.9797  2.4214  2.2450  2.1690  2.1431
 194  0.846003  3.7119  3.2357  0.9306  4.0193  2.9345  2.3747  2.1975  2.1209  2.0948
 195  0.846207  3.7114  3.2137  0.9507  3.9735  2.8868  2.3253  2.1471  2.0699  2.0436
 196  0.846408  3.7109  3.1910  0.9714  3.9265  2.8378  2.2745  2.0954  2.0175  1.9909
 197  0.846604  3.7104  3.1679  0.9926  3.8783  2.7875  2.2224  2.0422  1.9636  1.9368
 198  0.846796  3.7098  3.1439  1.0145  3.8288  2.7356  2.1686  1.9875  1.9081  1.8809
 199  0.846982  3.7092  3.1191  1.0370  3.7783  2.6824  2.1133  1.9311  1.8508  1.8235
 200  0.847165  3.7086  3.0936  1.0601  3.7271  2.6282  2.0568  1.8733  1.7923  1.7647
 201  0.847341  3.7079  3.0674  1.0837  3.6751  2.5727  1.9990  1.8142  1.7323  1.7043
 202  0.847513  3.7072  3.0404  1.1079  3.6224  2.5161  1.9397  1.7537  1.6708  1.6424
