#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2454 2.5304E-04 1.2880E-04  -2.19   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE=10.400 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  12  0.106321  3.5415  5.3639 -2.7800 16.2862 13.8135 12.2372 11.4760 11.1608 11.0635
  13  0.116511  3.5495  5.3171 -2.6618 15.8210 13.4206 11.8783 11.1857 10.8812 10.7835
  14  0.128197  3.5577  5.2696 -2.5398 15.3385 13.0179 11.5157 10.8835 10.5897 10.4928
  15  0.141838  3.5660  5.2247 -2.4180 14.8574 12.6170 11.1613 10.5791 10.2961 10.2010
  16  0.156539  3.5732  5.1880 -2.3092 14.4274 12.2612 10.8514 10.3060 10.0328  9.9396
  17  0.170674  3.5791  5.1595 -2.2198 14.0750 11.9722 10.6020 10.0817  9.8162  9.7249
  18  0.183616  3.5837  5.1363 -2.1468 13.7914 11.7391 10.4010  9.8982  9.6388  9.5490
  19  0.196128  3.5874  5.1156 -2.0824 13.5463 11.5362 10.2256  9.7362  9.4817  9.3935
  20  0.209052  3.5908  5.0959 -2.0214 13.3178 11.3462 10.0608  9.5829  9.3329  9.2460
  21  0.223337  3.5941  5.0765 -1.9598 13.0905 11.1563  9.8958  9.4283  9.1827  9.0972
  22  0.239259  3.5975  5.0573 -1.8975 12.8621 10.9649  9.7292  9.2715  9.0304  8.9462
  23  0.257989  3.6010  5.0379 -1.8312 12.6196 10.7618  9.5527  9.1049  8.8685  8.7859
  24  0.280417  3.6048  5.0175 -1.7593 12.3588 10.5422  9.3616  8.9239  8.6928  8.6119
  25  0.298335  3.6075  5.0039 -1.7078 12.1723 10.3846  9.2245  8.7941  8.5667  8.4871
  26  0.308543  3.6090  4.9973 -1.6808 12.0747 10.3020  9.1526  8.7260  8.5006  8.4218
  27  0.315305  3.6098  4.9934 -1.6637 12.0132 10.2498  9.1071  8.6829  8.4588  8.3804
  28  0.320063  3.6105  4.9904 -1.6516 11.9698 10.2131  9.0752  8.6526  8.4294  8.3513
  29  0.323852  3.6111  4.9880 -1.6420 11.9348 10.1833  9.0493  8.6281  8.4057  8.3278
  30  0.327624  3.6116  4.9862 -1.6329 11.9014 10.1551  9.0250  8.6051  8.3835  8.3060
  31  0.332010  3.6122  4.9836 -1.6221 11.8624 10.1220  8.9962  8.5779  8.3572  8.2799
